?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
89,2024-01-07,직영점,A0086,부산구서점(직),3,정상,일반판매,AKI3DP002,C-브로디롱큐롯데님,ML,중청,L,판매
90,2024-01-08,직영점,A0086,부산구서점(직),1,정상,일반판매,AKL7KT016,J-글리배색반폴니트,BE,베이지,F,판매
91,2024-01-08,직영점,A0086,부산구서점(직),1,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,M,판매
92,2024-01-08,직영점,A0086,부산구서점(직),2,정상,일반판매,BKL7MF005,컬러풀머플러,RE,레드,F,판매
93,2024-01-08,직영점,A0086,부산구서점(직),2,정상,일반판매,BKL4CP007,타조돌돌이챙,CG,차콜그레이,F,판매
94,2024-01-08,직영점,A0086,부산구서점(직),3,정상,일반판매,AKL7JP001,P-모드롱덕다운패딩,BR,브라운,F,판매
95,2024-01-09,직영점,A0086,부산구서점(직),1,정상,일반판매,AKK7JP025,J-엔조퍼후드점퍼,GR,회색,F,판매
96,2024-01-09,직영점,A0086,부산구서점(직),2,정상,일반판매,BJK4SB009,세무하이탑(9541),BK,블랙,40,판매
97,2024-01-09,직영점,A0086,부산구서점(직),3,정상,일반판매,AKJ7DP002,J-로튼데님배기,DL,진청,S,판매
98,2024-01-09,직영점,A0086,부산구서점(직),3,기획,일반판매,AKI7KT012,J-컬러반폴니트,RE,레드,F,판매
99,2024-01-10,직영점,A0086,부산구서점(직),1,정상,일반판매,AKL7KT015,J-눈꽃소녀니트,NA,네이비,F,판매
100,2024-01-10,직영점,A0086,부산구서점(직),2,정상,일반판매,AKK7VT013,J-페이퍼니트조끼,RE,레드,F,판매
101,2024-01-10,직영점,A0086,부산구서점(직),3,정상,일반판매,BKJ3CP007,울야구,PK,핑크,F,판매
102,2024-01-10,직영점,A0086,부산구서점(직),4,정상,일반판매,AKJ7DP002,J-로튼데님배기,DL,진청,S,반품
103,2024-01-10,직영점,A0086,부산구서점(직),4,기획,일반판매,AKI7KT012,J-컬러반폴니트,RE,레드,F,반품
104,2024-01-10,직영점,A0086,부산구서점(직),5,정상,일반판매,AKJ7DP002,J-로튼데님배기,DL,진청,M,판매
105,2024-01-10,직영점,A0086,부산구서점(직),6,정상,일반판매,AEJ1OP501,리옹 후드 슬리브리스 코튼원피스,KH,카키,L,판매
106,2024-01-10,직영점,A0086,부산구서점(직),7,정상,일반판매,AKL3JP009,C-사각자수후드패딩,LB,연한베이지,F,판매
107,2024-01-11,직영점,A0086,부산구서점(직),1,정상,일반판매,AIL3PT015,Q-밍끈포켓,BK,블랙,F,판매
108,2024-01-11,직영점,A0086,부산구서점(직),2,기획,일반판매,AKK7VT003,J-하이넥덕다운조끼,BR,브라운,F,판매
109,2024-01-11,직영점,A0086,부산구서점(직),3,기획,일반판매,AKL7KT003,P-로제폴라니트,BR,브라운,F,판매
110,2024-01-11,직영점,A0086,부산구서점(직),3,기획,일반판매,AKK7TS002,P-폴라기모T,WN,와인,F,판매
111,2024-01-11,직영점,A0086,부산구서점(직),4,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BE,베이지,F,판매
112,2024-01-11,직영점,A0086,부산구서점(직),5,정상,일반판매,AKL7DP006,P3-기모일자통데님,DL,진청,S,판매
113,2024-01-11,직영점,A0086,부산구서점(직),5,정상,일반판매,AJL3PT003,C-빅포켓배기팬츠,BK,블랙,S,판매
114,2024-01-11,직영점,A0086,부산구서점(직),6,정상,일반판매,AKK3PT015,C-윈디울부츠컷,OT,오트밀,L,판매
115,2024-01-11,직영점,A0086,부산구서점(직),7,정상,일반판매,AKL7JP001,P-모드롱덕다운패딩,BR,브라운,F,판매
116,2024-01-11,직영점,A0086,부산구서점(직),7,정상,일반판매,BKL7MF005,컬러풀머플러,RE,레드,F,판매
117,2024-01-11,직영점,A0086,부산구서점(직),7,정상,일반판매,BKL4CP007,타조돌돌이챙,CG,차콜그레이,F,판매
118,2024-01-11,직영점,A0086,부산구서점(직),7,정상,일반판매,AKK7JP020,J-밍크라인덕다운,BK,블랙,F,판매
119,2024-01-11,직영점,A0086,부산구서점(직),7,정상,일반판매,AKK7VT002,J-로티덕다운조끼,BK,블랙,F,판매
120,2024-01-11,직영점,A0086,부산구서점(직),8,정상,일반판매,AKK7KT012,J-무지폴라니트,PK,핑크,F,판매
121,2024-01-12,직영점,A0086,부산구서점(직),1,정상,일반판매,AIL3PT019,S-올무지통PT,BR,브라운,M,판매
122,2024-01-12,직영점,A0086,부산구서점(직),2,정상,일반판매,AJA3JP005,S-레터링막스JP,IV,아이보리,F,반품
123,2024-01-12,직영점,A0086,부산구서점(직),2,정상,일반판매,AKK7VT002,J-로티덕다운조끼,BK,블랙,F,반품
124,2024-01-12,직영점,A0086,부산구서점(직),3,정상,일반판매,AJA3JP005,S-레터링막스JP,IV,아이보리,F,판매
125,2024-01-12,직영점,A0086,부산구서점(직),3,정상,일반판매,AKK7VT002,J-로티덕다운조끼,BK,블랙,F,판매
126,2024-01-12,직영점,A0086,부산구서점(직),4,정상,일반판매,AKI7KT017,J-로엔카라니트,OL,올리브,F,판매
127,2024-01-12,직영점,A0086,부산구서점(직),4,정상,일반판매,AEH1SK101,르니 디바이디드 스커트팬츠,BK,블랙,L,판매
128,2024-01-12,직영점,A0086,부산구서점(직),5,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BK,블랙,F,판매
129,2024-01-12,직영점,A0086,부산구서점(직),6,정상,일반판매,AKK7SK003,J-소피니트스커트,BK,블랙,F,판매
130,2024-01-13,직영점,A0086,부산구서점(직),1,정상,일반판매,AKL3PT006,C-올리기모와이드슬랙스,BE,베이지,L,판매
131,2024-01-13,직영점,A0086,부산구서점(직),2,기획,일반판매,AKK7KT027,P-뒷트임단니트,PP,퍼플,F,판매
132,2024-01-13,직영점,A0086,부산구서점(직),3,정상,일반판매,AKL7KT015,J-눈꽃소녀니트,BE,베이지,F,판매
133,2024-01-13,직영점,A0086,부산구서점(직),4,정상,일반판매,AKK3KT003,S-어깨버튼니트,CR,크림,F,판매
134,2024-01-13,직영점,A0086,부산구서점(직),4,기획,일반판매,AKK7VT003,J-하이넥덕다운조끼,BR,브라운,F,판매
135,2024-01-13,직영점,A0086,부산구서점(직),5,정상,일반판매,AKK7KT020,J-하이캣자수니트,GR,회색,F,판매
136,2024-01-13,직영점,A0086,부산구서점(직),5,정상,일반판매,AHK3VT007,Q-주머니삔줄조끼,BE,베이지,F,판매
137,2024-01-13,직영점,A0086,부산구서점(직),6,정상,일반판매,AKJ7JP013,J-카라덕다운점퍼,BK,블랙,F,판매
138,2024-01-13,직영점,A0086,부산구서점(직),7,정상,일반판매,AKL7KT020,P3-크로스폴라니트,GR,회색,F,판매
139,2024-01-13,직영점,A0086,부산구서점(직),8,정상,일반판매,AKL3KT004,S-분홍꽃KT,GR,회색,F,판매
140,2024-01-13,직영점,A0086,부산구서점(직),9,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,M,판매
141,2024-01-13,직영점,A0086,부산구서점(직),9,기획,일반판매,AKK7JP006,J-삥줄포인덕다운점퍼,BE,베이지,F,판매
142,2024-01-13,직영점,A0086,부산구서점(직),9,정상,일반판매,AKL7KT017,P3-셀폴라니트,GR,회색,F,판매
143,2024-01-15,직영점,A0086,부산구서점(직),1,기획,일반판매,AKL7KT003,P-로제폴라니트,BK,블랙,F,판매
144,2024-01-15,직영점,A0086,부산구서점(직),1,정상,일반판매,AKK3KT002,C-살롱반폴니트,BK,블랙,F,판매
145,2024-01-15,직영점,A0086,부산구서점(직),1,정상,일반판매,AKJ7KT001,J-심플라운드니트,BK,블랙,F,판매
146,2024-01-15,직영점,A0086,부산구서점(직),1,정상,일반판매,AKL7JP003,P-니트카라덕다운,IV,아이보리,F,판매
147,2024-01-15,직영점,A0086,부산구서점(직),2,정상,일반판매,AKJ7JP013,J-카라덕다운점퍼,BK,블랙,F,반품
148,2024-01-15,직영점,A0086,부산구서점(직),3,정상,일반판매,AKL7KT015,J-눈꽃소녀니트,NA,네이비,F,판매
149,2024-01-15,직영점,A0086,부산구서점(직),4,정상,일반판매,AKK7KT017,J-루이폴라니트,BE,베이지,F,판매
