?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
78,2024-01-05,직영점,A0024,부산두실점(직),6,정상,일반판매,AKK7VT021,J-폴라집업조끼,IV,아이보리,F,판매
79,2024-01-05,직영점,A0024,부산두실점(직),7,정상,일반판매,AKL7DP006,P3-기모일자통데님,DL,진청,L,반품
80,2024-01-05,직영점,A0024,부산두실점(직),7,정상,일반판매,AIC7KT006,펀칭꽃니트,BL,블루,F,반품
81,2024-01-05,직영점,A0024,부산두실점(직),8,정상,일반판매,AIC7KT006,펀칭꽃니트,BL,블루,F,판매
82,2024-01-05,직영점,A0024,부산두실점(직),8,정상,일반판매,AJB7VT007,베어체인조끼,IV,아이보리,F,판매
83,2024-01-05,직영점,A0024,부산두실점(직),9,정상,일반판매,AHK7JP007,라인패딩JP,BK,블랙,F,판매
84,2024-01-05,직영점,A0024,부산두실점(직),10,정상,일반판매,AKB3KT024,C-소잉스퀘어골지슬림니트,PK,핑크,F,판매
85,2024-01-05,직영점,A0024,부산두실점(직),10,정상,일반판매,AKK7SK002,J-플레어니트스커트,PK,핑크,F,판매
86,2024-01-05,직영점,A0024,부산두실점(직),11,정상,일반판매,BKL4CP009,울꽈배기귀도리,CG,차콜그레이,F,판매
87,2024-01-05,직영점,A0024,부산두실점(직),12,정상,일반판매,AEK1KN706,라운드 H롱 니트,KH,카키,F,판매
88,2024-01-05,직영점,A0024,부산두실점(직),12,정상,일반판매,AHK7KT010,라인KT,RE,레드,F,판매
89,2024-01-05,직영점,A0024,부산두실점(직),13,정상,일반판매,AKK3PT013,C-시보리골덴배기(기모),BE,베이지,L,반품
90,2024-01-05,직영점,A0024,부산두실점(직),13,정상,일반판매,BKL4CP016,뜨뜨귀꽈배기햇,LB,연한베이지,F,반품
91,2024-01-05,직영점,A0024,부산두실점(직),14,정상,일반판매,AKK3PT013,C-시보리골덴배기(기모),BE,베이지,L,판매
92,2024-01-05,직영점,A0024,부산두실점(직),14,정상,일반판매,BKL4CP016,뜨뜨귀꽈배기햇,LB,연한베이지,F,판매
93,2024-01-06,직영점,A0024,부산두실점(직),1,정상,일반판매,AKK3PT006,S-시보리기모배기팬츠,BK,블랙,L,판매
94,2024-01-06,직영점,A0024,부산두실점(직),2,정상,일반판매,AKL7JP002,J-니팅배색덕다운,PK,핑크,F,판매
95,2024-01-06,직영점,A0024,부산두실점(직),3,정상,일반판매,AKJ7JP006,J-무브덕다운점퍼,GR,회색,F,판매
96,2024-01-06,직영점,A0024,부산두실점(직),3,정상,일반판매,BKL7MF008,핸메퍼머플러,BK,블랙,F,판매
97,2024-01-06,직영점,A0024,부산두실점(직),4,정상,일반판매,AIL7DP004,하트샵자수청,DL,진청,F,판매
98,2024-01-06,직영점,A0024,부산두실점(직),5,정상,일반판매,AKL7PT003,P3-누빔조거팬츠,BK,블랙,F,판매
99,2024-01-06,직영점,A0024,부산두실점(직),6,정상,일반판매,AKK3PT014,C-체크기모부츠컷,GR,회색,M,판매
100,2024-01-06,직영점,A0024,부산두실점(직),6,정상,일반판매,AKK3PT002,C-더치골덴통바지(기모),IV,아이보리,M,판매
101,2024-01-06,직영점,A0024,부산두실점(직),7,정상,일반판매,AKL7KT007,J-삼색단니트,PP,퍼플,F,판매
102,2024-01-06,직영점,A0024,부산두실점(직),7,정상,일반판매,AKK7VT015,J-엘라퍼조끼,BE,베이지,F,판매
103,2024-01-06,직영점,A0024,부산두실점(직),8,정상,일반판매,AKK3PT007,S-기모건빵바지,BK,블랙,L,판매
104,2024-01-06,직영점,A0024,부산두실점(직),8,정상,일반판매,AKL7TS008,P4-스퀘어반폴T,MO,모카,F,판매
105,2024-01-06,직영점,A0024,부산두실점(직),8,정상,일반판매,BKL4SC008,포근니트삭스(2pcs),XX,XX,F,판매
106,2024-01-06,직영점,A0024,부산두실점(직),9,정상,일반판매,AKL7KT008,J-스트라이프니트,BE,베이지,F,판매
107,2024-01-06,직영점,A0024,부산두실점(직),9,기획,일반판매,AKI7KT012,J-컬러반폴니트,DP,진핑크,F,판매
108,2024-01-06,직영점,A0024,부산두실점(직),10,정상,일반판매,AKK7VT026,J-모드브이니트조끼,NA,네이비,F,판매
109,2024-01-06,직영점,A0024,부산두실점(직),10,정상,일반판매,AKK7VT026,J-모드브이니트조끼,BE,베이지,F,판매
110,2024-01-06,직영점,A0024,부산두실점(직),10,정상,일반판매,AKI7KT025,J-라인브이가디건,OR,오렌지,F,판매
111,2024-01-06,직영점,A0024,부산두실점(직),11,정상,일반판매,BKL7MF004,와플니트고리,GE,그린,F,판매
112,2024-01-06,직영점,A0024,부산두실점(직),11,정상,일반판매,AKJ7KT001,J-심플라운드니트,IV,아이보리,F,판매
113,2024-01-06,직영점,A0024,부산두실점(직),11,정상,일반판매,AEI2SK602,토머버리 랩스타일 언밸런스 스커트,BL,블루,M,판매
114,2024-01-06,직영점,A0024,부산두실점(직),11,정상,일반판매,AEJ1KN201,슬로베니아 니트케이프,BK,블랙,M,판매
115,2024-01-06,직영점,A0024,부산두실점(직),11,정상,일반판매,AJJ3PT014,S-아미배기,BK,블랙,F,판매
116,2024-01-06,직영점,A0024,부산두실점(직),12,정상,일반판매,AIL7DP004,하트샵자수청,DL,진청,F,판매
117,2024-01-06,직영점,A0024,부산두실점(직),12,정상,일반판매,BKK7BG002,J-마킹백팩,BK,블랙,F,판매
118,2024-01-06,직영점,A0024,부산두실점(직),13,정상,일반판매,AJJ3PT014,S-아미배기,BK,블랙,L,판매
119,2024-01-06,직영점,A0024,부산두실점(직),13,정상,일반판매,AJJ3PT014,S-아미배기,BK,블랙,F,판매
120,2024-01-07,직영점,A0024,부산두실점(직),1,정상,일반판매,ZA00CO046,레몬생강차(음료),XX,XX,XX,판매
121,2024-01-07,직영점,A0024,부산두실점(직),1,정상,일반판매,ZA00CO004,카푸치노(음료),XX,XX,XX,판매
122,2024-01-07,직영점,A0024,부산두실점(직),1,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매
123,2024-01-07,직영점,A0024,부산두실점(직),2,정상,일반판매,AEK1PT602,오발 캐주얼 바지,GR,회색,M,판매
124,2024-01-07,직영점,A0024,부산두실점(직),3,정상,일반판매,AII3JK007,S-사선지퍼레자,BK,블랙,F,판매
125,2024-01-07,직영점,A0024,부산두실점(직),4,기획,일반판매,AKI7KT012,J-컬러반폴니트,DP,진핑크,F,판매
126,2024-01-07,직영점,A0024,부산두실점(직),5,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매
127,2024-01-07,직영점,A0024,부산두실점(직),6,기획,일반판매,AKL7KT002,P-윈터폴라니트,GE,그린,F,판매
128,2024-01-07,직영점,A0024,부산두실점(직),7,정상,일반판매,AKL7DP006,P3-기모일자통데님,DL,진청,L,판매
129,2024-01-07,직영점,A0024,부산두실점(직),7,정상,일반판매,AKJ7DP002,J-로튼데님배기,DL,진청,M,판매
130,2024-01-07,직영점,A0024,부산두실점(직),8,정상,일반판매,AKK3DP001,C-다비기모통데님,DL,진청,M,판매
131,2024-01-07,직영점,A0024,부산두실점(직),8,정상,일반판매,AJK7VT007,에잇다운조끼,BK,블랙,F,판매
132,2024-01-07,직영점,A0024,부산두실점(직),8,정상,일반판매,AKK3PT013,C-시보리골덴배기(기모),KH,카키,M,판매
133,2024-01-07,직영점,A0024,부산두실점(직),9,정상,일반판매,AKK3PT013,C-시보리골덴배기(기모),BE,베이지,L,판매
