?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
81,2024-01-13,직영점,A0025,부산연지점(직),3,정상,일반판매,AKL7KT020,P3-크로스폴라니트,GR,회색,F,판매
82,2024-01-13,직영점,A0025,부산연지점(직),3,정상,일반판매,AJK3KT004,C-카렌폴라니트,RB,적갈색/벽돌,F,판매
83,2024-01-13,직영점,A0025,부산연지점(직),4,정상,일반판매,AJA7JK006,누빔도트JK,IV,아이보리,F,판매
84,2024-01-13,직영점,A0025,부산연지점(직),4,정상,일반판매,AKK7SK002,J-플레어니트스커트,PK,핑크,F,판매
85,2024-01-13,직영점,A0025,부산연지점(직),4,정상,일반판매,AJC4TS002,M-리엔T,WH,화이트,L,판매
86,2024-01-13,직영점,A0025,부산연지점(직),5,정상,일반판매,AJA7JK006,누빔도트JK,IV,아이보리,F,반품
87,2024-01-13,직영점,A0025,부산연지점(직),5,정상,일반판매,AKK7SK002,J-플레어니트스커트,PK,핑크,F,반품
88,2024-01-13,직영점,A0025,부산연지점(직),5,정상,일반판매,AJC4TS002,M-리엔T,WH,화이트,L,반품
89,2024-01-13,직영점,A0025,부산연지점(직),6,정상,일반판매,AJC4TS002,M-리엔T,WH,화이트,L,판매
90,2024-01-13,직영점,A0025,부산연지점(직),6,정상,일반판매,AKL3KT004,S-분홍꽃KT,GR,회색,F,판매
91,2024-01-13,직영점,A0025,부산연지점(직),6,정상,일반판매,AKK7SK002,J-플레어니트스커트,PK,핑크,F,판매
92,2024-01-13,직영점,A0025,부산연지점(직),6,정상,일반판매,AJA7JK006,누빔도트JK,IV,아이보리,F,판매
93,2024-01-13,직영점,A0025,부산연지점(직),7,정상,일반판매,BKL7BG009,J-패치숄더백,KH,카키,F,판매
94,2024-01-13,직영점,A0025,부산연지점(직),8,정상,일반판매,AJE7ST002,블라나염ST,NA,네이비,F,판매
