?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
122,2024-01-17,직영점,A0020,부산모라점(직),5,정상,일반판매,AJL7KT002,포인반목니트,BE,베이지,F,반품
123,2024-01-17,직영점,A0020,부산모라점(직),5,정상,일반판매,AKK7KT023,J-레인보우니트조끼,GR,회색,F,반품
124,2024-01-17,직영점,A0020,부산모라점(직),5,기획,일반판매,AKK7TS002,P-폴라기모T,BK,블랙,F,반품
125,2024-01-17,직영점,A0020,부산모라점(직),6,기획,일반판매,AKK7TS002,P-폴라기모T,BK,블랙,F,판매
126,2024-01-17,직영점,A0020,부산모라점(직),7,정상,일반판매,AJK3VT004,C-로제경량조끼,BK,블랙,F,판매
127,2024-01-18,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7KT020,P3-크로스폴라니트,GR,회색,F,판매
128,2024-01-18,직영점,A0020,부산모라점(직),1,정상,일반판매,BKI7BG007,패치크로스백,BK,블랙,F,판매
129,2024-01-18,직영점,A0020,부산모라점(직),1,정상,일반판매,BKL7BG002,J-골든백팩,BK,블랙,F,판매
130,2024-01-18,직영점,A0020,부산모라점(직),2,기획,일반판매,AKJ7TS001,J-베이직폴라T,DB,다크베이지,F,판매
131,2024-01-18,직영점,A0020,부산모라점(직),3,정상,일반판매,AKL3KT004,S-분홍꽃KT,GR,회색,F,판매
132,2024-01-18,직영점,A0020,부산모라점(직),3,정상,일반판매,AKK7KT023,J-레인보우니트조끼,GR,회색,F,판매
133,2024-01-18,직영점,A0020,부산모라점(직),4,정상,일반판매,AKL7KT017,P3-셀폴라니트,GR,회색,F,판매
134,2024-01-19,직영점,A0020,부산모라점(직),1,정상,일반판매,AJL3PT034,S-융기모부츠컷,BE,베이지,L,판매
135,2024-01-19,직영점,A0020,부산모라점(직),2,정상,일반판매,AJK7KT009,진주하트니트,GE,그린,F,판매
136,2024-01-19,직영점,A0020,부산모라점(직),3,정상,일반판매,AIL7KT003,나그랑골반목KT,OR,오렌지,F,판매
