?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
144,2024-01-13,직영점,A0006,부산하단점,3,기획,일반판매,AKK7JP016,P-토니덕다운점퍼,BE,베이지,F,판매
145,2024-01-13,직영점,A0006,부산하단점,4,기획,일반판매,AKL7PT002,P-버클부츠컷슬랙스,BK,블랙,L,판매
146,2024-01-13,직영점,A0006,부산하단점,5,정상,일반판매,AKJ7PT005,J-라인핀턱슬랙스,BK,블랙,M,판매
147,2024-01-13,직영점,A0006,부산하단점,5,정상,일반판매,BKL7MF001,모닝퍼머플러,BE,베이지,F,판매
148,2024-01-13,직영점,A0006,부산하단점,6,정상,일반판매,AKL3JP008,S-레벨밴딩JP,BK,블랙,F,판매
149,2024-01-13,직영점,A0006,부산하단점,7,정상,일반판매,BKL4CP007,타조돌돌이챙,BE,베이지,F,판매
150,2024-01-13,직영점,A0006,부산하단점,8,정상,일반판매,ZA00CO029,아메리카노(2000),XX,XX,XX,판매
151,2024-01-13,직영점,A0006,부산하단점,9,정상,일반판매,AKL3JK003,S-페이크퍼망토JK,PP,퍼플,F,판매
152,2024-01-13,직영점,A0006,부산하단점,10,정상,일반판매,AJJ3OP001,S-밴딩후드OPS,BR,브라운,F,판매
153,2024-01-13,직영점,A0006,부산하단점,10,정상,일반판매,AJA3JP006,S-사각체크JP,BE,베이지,F,판매
154,2024-01-13,직영점,A0006,부산하단점,10,정상,일반판매,AKK7KT014,J-스케치래빗니트,BE,베이지,F,판매
155,2024-01-13,직영점,A0006,부산하단점,10,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,L,판매
156,2024-01-13,직영점,A0006,부산하단점,11,기획,일반판매,AKK7TS002,P-폴라기모T,BK,블랙,F,판매
157,2024-01-13,직영점,A0006,부산하단점,11,정상,일반판매,AKL7TS007,P4-레터링반폴T,BR,브라운,F,판매
158,2024-01-13,직영점,A0006,부산하단점,11,정상,일반판매,AKL7TS008,P4-스퀘어반폴T,MO,모카,F,판매
159,2024-01-13,직영점,A0006,부산하단점,11,정상,일반판매,AKK7JP011,J-뽀글후드집업,BR,브라운,F,판매
160,2024-01-13,직영점,A0006,부산하단점,11,정상,일반판매,AKK7KT023,J-레인보우니트조끼,GR,회색,F,판매
161,2024-01-13,직영점,A0006,부산하단점,11,정상,일반판매,AKJ3JP004,S-블럭니트집업,BK,블랙,F,판매
162,2024-01-13,직영점,A0006,부산하단점,11,정상,일반판매,BFI3MF006,꽃송치(롱),BR,브라운,F,판매
163,2024-01-14,직영점,A0006,부산하단점,1,정상,일반판매,AKL7KT015,J-눈꽃소녀니트,NA,네이비,F,판매
164,2024-01-14,직영점,A0006,부산하단점,2,정상,일반판매,AKI7VT010,J-가든니트조끼,GR,회색,F,판매
165,2024-01-14,직영점,A0006,부산하단점,2,기획,일반판매,AKJ7TS001,J-베이직폴라T,BK,블랙,F,판매
166,2024-01-14,직영점,A0006,부산하단점,2,기획,일반판매,AKJ7TS001,J-베이직폴라T,GE,그린,F,판매
167,2024-01-14,직영점,A0006,부산하단점,2,기획,일반판매,AKK7TS002,P-폴라기모T,BK,블랙,F,판매
168,2024-01-14,직영점,A0006,부산하단점,2,정상,일반판매,BIL4SC002,도톰덧신(2pcs),XX,XX,F,판매
169,2024-01-14,직영점,A0006,부산하단점,3,정상,일반판매,AKK3JP005,S-엠보패딩점퍼,BE,베이지,F,판매
170,2024-01-14,직영점,A0006,부산하단점,4,정상,일반판매,AKK7JP020,J-밍크라인덕다운,BK,블랙,F,판매
171,2024-01-14,직영점,A0006,부산하단점,4,기획,일반판매,AKK7JP007,J-사선셔링덕다운,PK,핑크,F,판매
172,2024-01-14,직영점,A0006,부산하단점,5,정상,일반판매,AKJ3TS021,C-앤디시보리티,CG,차콜그레이,F,판매
173,2024-01-14,직영점,A0006,부산하단점,6,기획,일반판매,AKK7JP016,P-토니덕다운점퍼,KH,카키,F,판매
174,2024-01-14,직영점,A0006,부산하단점,7,정상,일반판매,AKL3JP008,S-레벨밴딩JP,BK,블랙,F,반품
