?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
62,2024-01-16,직영점,A0070,부산만덕점(직),2,정상,일반판매,BKL7BG014,J-페페숄더백,GE,그린,F,판매
63,2024-01-17,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKI7KT002,J-꽃자수단니트,WN,와인,F,판매
64,2024-01-17,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKL7KT018,P3-라운드M니트,GR,회색,F,판매
65,2024-01-17,직영점,A0070,부산만덕점(직),2,정상,일반판매,AEJ2CA401,에스토니아 후드 롱코트,GR,회색,F,판매
66,2024-01-17,직영점,A0070,부산만덕점(직),2,정상,일반판매,AEK1CT101,햅번 패딩 하프코트,YE,옐로우,S,판매
67,2024-01-17,직영점,A0070,부산만덕점(직),2,정상,일반판매,AEH1SK101,르니 디바이디드 스커트팬츠,BK,블랙,L,판매
68,2024-01-17,직영점,A0070,부산만덕점(직),3,정상,일반판매,AJA7KT005,폴라레오KT,OR,오렌지,F,판매
69,2024-01-17,직영점,A0070,부산만덕점(직),4,정상,일반판매,AKJ3PT003,C-더치골덴통바지,IV,아이보리,L,판매
70,2024-01-17,직영점,A0070,부산만덕점(직),5,정상,일반판매,AKL7KT018,P3-라운드M니트,GR,회색,F,판매
71,2024-01-18,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKL7KT020,P3-크로스폴라니트,GR,회색,F,판매
72,2024-01-18,직영점,A0070,부산만덕점(직),2,정상,20% 할인(직원할인),BJK4SC007,키키삭스(2pcs),XX,XX,F,판매
73,2024-01-18,직영점,A0070,부산만덕점(직),3,정상,일반판매,AKI3PT007,C-플랜일자팬츠,CG,차콜그레이,XL,판매
74,2024-01-20,직영점,A0070,부산만덕점(직),1,정상,20% 할인(직원할인),BKB7BG019,가든투웨이백,BK,블랙,F,판매
75,2024-01-20,직영점,A0070,부산만덕점(직),2,정상,일반판매,AEK1TS501,언발란스 슬림 짚업티셔츠,GR,회색,M,판매
76,2024-01-20,직영점,A0070,부산만덕점(직),2,정상,일반판매,AEK1TS501,언발란스 슬림 짚업티셔츠,BK,블랙,XL,판매
77,2024-01-20,직영점,A0070,부산만덕점(직),3,기획,일반판매,AKK7JP016,P-토니덕다운점퍼,BE,베이지,F,판매
78,2024-01-20,직영점,A0070,부산만덕점(직),3,정상,일반판매,AEK1TS501,언발란스 슬림 짚업티셔츠,GR,회색,M,판매
79,2024-01-20,직영점,A0070,부산만덕점(직),3,정상,일반판매,AEI2OP301,아게다 터틀넥 원피스,BK,블랙,L,판매
80,2024-01-21,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKL3DP003,S-노이세미기모통데님,DL,진청,M,판매
