product_id,product_code,product_name
273,BKL7BG010,J-프라호보백
274,ALC3WS003,C-TSCCHN-유미스틱셔츠
275,ALC3KT008,C-TCARHN-스팽글V니트
276,ALC3JK003,C-SCARHN-블링니트자켓
277,AKI3DP010,C-플로우부츠컷데님
278,ALD3TS004,C-OCCRHN-자수스팽글T
279,ALB3TS014,C-SCCRHN-팝핑퍼프소매티
280,ALC3VT001,C-SCPHHC-시크셔링조끼
281,ALC3KT005,S-GCAVHN-패턴브이니트
282,ALC7KT001,3-SCARHN-피오나니트
283,ALC3KT007,C-SCACSN-슬림카라니트
284,AKI3PT013,S-토핑자수배기
285,AJI7JK007,텐스레더자켓
286,ALC3BL004,C-OSPCHN-레터링끈BL
287,AKC7JP001,듀크플라워점퍼
288,ALD3TS005,C-OCCRHN-레아T
289,ALC7OP002,J-OCTRHL-이브닝원피스
290,AKI7KT023,J-M스트라이프니트
291,ALC3JP007,C-OCPHHF-테잎비조사파리
292,ALC3JP006,C-SSCHHN-로즈날개점퍼
293,AKJ3CT001,C-로아시보리하프바바리
294,AKB7JP001,테드레자점퍼
295,ALD3TS003,C-OCCRHN-도넛맨투맨
296,ALD3BL002,3-OCPRHN-진주노방BL
297,ALC3SL002,C-SSPXB9-시보리다트배기SL
298,ALD3TS011,3-OSCRHN-나비T
299,ALC3JP010,3-SCPHAN-진주지퍼JP
300,AKI3TS013,S-PS후드
301,AKB3TS013,S-레빗단가라T
302,ALD3BL006,3-OSPRHN-위너스BL
303,ALC3JP009,3-OCPMAN-날개리본JP
304,ALC3BL003,C-SCPRON-코코리본BL
305,AKI3PT027,C-치즈와이드슬랙스
306,ALC3KT006,S-TCAVHN-V단가라니트
307,AIK3TS003,S-그라피T
308,AEI2SK402,나탈리 코튼 머메이드스커트
309,BLC4MF009,페인팅양모사각
310,ALC3DP002,3-OCCXT0-옆라인청통
311,ALD4VT001,3-ZFECHC-트위숏조끼
312,BLC4MF007,루시아실크사각
313,ALC3SK002,C-SSPZA8-핀턱훌스커트
314,AKI7DP002,J-자가드와이드데님배기
315,ALB7WS012,J-ECDSON-굿럭데님셔츠
316,ALD3WS003,3-FCCSHN-플라워보틀셔츠
317,ALD3PT002,3-SCPXT8-밴딩치마바지
318,ALD3BL003,3-OCLVHN-프릴카라린넨BL
319,ALD3KT001,3-SSAVHN-로우7부
320,ALC3TS010,3-OCCRHN-플라워레터링T
321,ALC3WS004,3-OCCSAN-타이밍셔츠
322,ALD3BL005,3-OSPRHN-비비라운BL
323,ALD3WS005,3-CCLSHN-컬러고방린넨셔츠
324,ALD4OP002,3-SSCRXL-데님끈OPS
325,AKE3JK006,S-코코스트링JK
326,AGH3PT034,M-플레인
327,ALC7KT004,J-OCTRHN-단가라레이어드니트
328,ALC3SK003,C-SCPXXL-아노락끈스커트
329,AJC3TS012,S-레터링후드줄T
330,ALD4OP001,3-SSPVXL-레트OPS
331,AKI3BL029,S-스톤나염블라우스
332,BKD7BG009,시젠가죽숄더백
333,AKB3TS009,S-잭키맨투맨
334,ALC7BL005,3-OCTRHN-조끼레이어드BL
335,ALD3VI002,3-SCAVHN-하트스카시조끼
336,ALD3TS015,3-SCCRHN-모달베이직반팔
337,AKI3PT026,C-올리브와이드슬랙스
338,ALD3WS002,C-TCPSHN-세일러카라셔츠
339,AKF3JK010,C-스티치린넨자켓
340,ALD7TS002,J-OCCDHN-1958후드
341,ALD3BL001,C-OCPRHN-러브비즈BL
342,ALD3VI001,3-FCAVHN-로즈단추조끼
343,AGC1CT001,A-리본바바리
344,AIC3JK011,S-이엔체크자켓
345,ALD3TS008,3-SCCRHN-5부라운드T
346,ALD3TS009,3-SCCHHN-옆셔링5부
347,AHC3BL045,Q-줄지온앤온
348,ALD3TS001,C-OCCRHN-트러플자수맨투맨
349,ALC3OP002,C-SSPCXL-트렌치OP
350,ALD3KN001,3-ECSRHN-레이스나시
351,AJC3TS009,S-테잎단가라
352,BLD4MF001,망진주워머
353,AKE3BL023,C-미링퍼프BL
354,AKI3JP009,C-데이단추JP
355,ALC3SL003,C-SSPXT9-후크통슬랙스
356,ALD3KT002,3-SSARHN-퍼프7부
357,BLD4SB001,패치하이탑(0019)
358,ALC3SL001,C-SSPXT9-코이통SL
359,ALB7WS005,J-GCCSON-문라이트셔츠
360,ALB3TS005,C-OCMRHN-스퀘어자수맨투맨
361,ALC3TS008,3-SCCVHN-슬라브반팔
362,AKH7BL003,J-캡린넨BL
363,ALD3KT005,3-SSLRHN-홀가진주니트
364,ALD3JK007,3-SSLTHN-린넨더블JK
365,ALC3TS009,3-SCCRHN-라포반팔
366,BLD4SB009,블링스니커즈(377)
367,AKD3WS002,C-꽃카라셔츠
368,AKD3JP016,S-싱글배색JP
369,ALD3SL002,S-CFPXC9-썸머고방부츠컷SL
370,ALD3DP001,3-OCCTT0-스티치통데님
371,AKJ3TS012,C-네오퍼프단T
372,ALD3JK010,3-SCPCAN-데님스티치JK
373,BLD4SC005,자수양말(2pcs)
374,ALD3JP005,3-OCCHHN-로이스티치점퍼
375,ALD3PT004,3-SCLXB8-단추마8부배기
376,AII3PT022,S-GU통바지
377,AKG7WS003,J-코크린넨버튼셔츠
378,AKI3VT005,S-진주핀탁조끼
379,AKG4BL004,C-세라린넨블라우스
380,ALC3WS001,C-CCCCHN-체크주크티
381,AKF3BL009,C-안나체크BL
382,ALC3CA001,C-SCAVHN-카일가디건
383,BLD4SB008,체크삭스슈즈(2215)
384,BLD4SB006,블랙뮬스니커즈(65)
385,BKI4SB009,비즈리본플랫(863-1)
386,AHC3WS002,M-페버러블
387,ALD3DP004,3-SCCXT9-비비안와이드데님
388,BLD4MF003,로즈삼각
389,AKE3JK005,S-이지밑셔링JK
390,AHC3PT008,S-랑방부츠컷
391,AKG3TS010,C-피오나V넥T
392,ALD3OP005,3-OCTZXL-세일러니트OPS
393,AJJ7SK003,토들스커트
394,ALC3TS011,3-OCCRHN-자수아트T
395,BKI7BG012,보스턴크로스백
396,ALD7KT002,J-TCARHN-셜리단가라KT
397,AKC7VT001,라인브이카라조끼
398,AKH3TS001,C-무지레터링나시
399,AKH3TS011,S-해피트임T
400,BLD4SC006,다이아중목양말(2pcs)
401,ALC3JP013,3-OCPHHN-파리스JP
402,ALD7KT001,J-OCARHN-꽈라운드KT
403,ALD3JP004,3-SCPDHN-숏후드JP
404,ALD7TS005,3-OCCRHN-캐릭아트T
405,BLD4SC002,끝단자수양말(2pcs)
406,BLD4SC001,데일리양말(3pcs)
407,ALE3JK004,3-GCCCHN-물결포켓숏JK
408,ALD3VT003,3-OCPVHN-맘보조끼
409,AKE7TS001,헬로스마일T
410,AJI3PT014,C-세리밴드PT
411,ALE3CA001,3-SCAVHN-리우가디건
412,AKF3TS016,C-카이막하프티
413,ALD3TS014,3-TSCRHN-러브단가라T
414,AJC3TS016,C-에밀리라운드
415,AIC3ST006,S-R니트세트
416,AKG3OP004,S-프릴단추OPS
417,ALD7OP001,J-CCLSXL-체크카라OPS
418,AKI4PT002,M-리엔조거팬츠
419,ALD3PT006,3-SCPXB9-일라배기PT
420,ALE3WS004,3-OCPSAN-M레이스셔츠
421,BLE4CP002,종이조개썬캡
422,ALD3PT005,3-SCLXT9-컬리마통PT
423,ALD3JK006,3-SSLTHN-라라린넨JK
424,BLD7GT003,3-태슬동전지갑
425,ALD3TS007,C-OCCRHN-썸머부클반팔T
426,AJG3PT007,S-단추망고배기
427,ALE3TS001,3-OCCRHN-판자수T
428,AKF3TS015,C-체인V넥
429,ALD3TS012,3-OSCRHN-컬러엠보T
430,ALC7BL002,J-CSCRHN-메쉬고방블라우스
431,AKE3OP023,C-에스후드원피스
432,ALC3JP012,3-OCPMHN-테이크JP
433,AKF3BL010,C-원버튼카라BL
434,AKE3TS004,C-미야스트링T
435,BLA7BG013,Z-라탄크로스백
436,ALD3TS010,3-OSCRHN-17비즈T
437,ALE3TS009,3-OCCRHN-비쥬T
438,BLD7BG001,J-스마일토트백
439,ALD3JK001,3-CCCSAN-고방자켓
440,AKG3KT002,S-보틀KT
441,AKC3JP021,C-트윙클포켓점퍼
442,AKI3DP008,C-워싱통와이드데님
443,ALE3BL002,3-OCPRHN-빌리브BL
444,ALD7PT004,3-SCLXT0-롱린넨PT
445,ALE3TS005,3-OCTRHN-베리T
446,ALE3TS006,3-OCCRHN-베이스맨투맨
447,ALE3WS003,3-OSCSHN-쉬폰셔링셔츠
448,ALE3JP004,3-OCPDHN-롤업JP
