sale_id,sale_date,store_id,product_id,color_id,size_id,quantity,price_type,sale_type,transaction_type,year,month
120,2024-01-11,1,64,6,1,1,정상,일반판매,판매,2023,11
121,2024-01-12,1,65,8,5,1,정상,일반판매,판매,2021,12
122,2024-01-12,1,19,7,1,1,정상,일반판매,반품,2022,1
123,2024-01-12,1,18,3,1,1,정상,일반판매,반품,2023,11
124,2024-01-12,1,19,7,1,1,정상,일반판매,판매,2022,1
125,2024-01-12,1,18,3,1,1,정상,일반판매,판매,2023,11
126,2024-01-12,1,66,21,1,1,정상,일반판매,판매,2023,9
127,2024-01-12,1,67,3,2,1,정상,일반판매,판매,2017,8
128,2024-01-12,1,1,3,1,1,정상,일반판매,판매,2023,12
129,2024-01-12,1,68,3,1,1,정상,일반판매,판매,2023,11
130,2024-01-13,1,3,1,2,1,정상,일반판매,판매,2023,12
131,2024-01-13,1,69,22,1,1,기획,일반판매,판매,2023,11
132,2024-01-13,1,55,1,1,1,정상,일반판매,판매,2023,12
133,2024-01-13,1,70,23,1,1,정상,일반판매,판매,2023,11
134,2024-01-13,1,61,8,1,1,기획,일반판매,판매,2023,11
135,2024-01-13,1,71,2,1,1,정상,일반판매,판매,2023,11
136,2024-01-13,1,72,1,1,1,정상,일반판매,판매,2020,11
137,2024-01-13,1,13,3,1,1,정상,일반판매,판매,2023,10
138,2024-01-13,1,35,2,1,1,정상,일반판매,판매,2023,12
139,2024-01-13,1,73,2,1,1,정상,일반판매,판매,2023,12
140,2024-01-13,1,23,8,5,1,기획,일반판매,판매,2023,12
141,2024-01-13,1,74,1,1,1,기획,일반판매,판매,2023,11
142,2024-01-13,1,2,2,1,1,정상,일반판매,판매,2023,12
143,2024-01-15,1,20,3,1,1,기획,일반판매,판매,2023,12
144,2024-01-15,1,75,3,1,1,정상,일반판매,판매,2023,11
145,2024-01-15,1,76,3,1,1,정상,일반판매,판매,2023,10
146,2024-01-15,1,77,7,1,1,정상,일반판매,판매,2023,12
147,2024-01-15,1,13,3,1,1,정상,일반판매,반품,2023,10
148,2024-01-15,1,55,17,1,1,정상,일반판매,판매,2023,12
149,2024-01-15,1,78,1,1,1,정상,일반판매,판매,2023,11
150,2024-01-15,1,48,2,1,1,정상,일반판매,판매,2023,12
151,2024-01-15,1,48,1,1,1,정상,일반판매,판매,2023,12
152,2024-01-15,1,23,8,4,1,기획,일반판매,판매,2023,12
153,2024-01-15,1,38,12,1,1,정상,일반판매,판매,2023,11
154,2024-01-15,1,13,1,1,1,정상,일반판매,판매,2023,10
155,2024-01-15,1,79,13,2,1,정상,일반판매,판매,2023,11
156,2024-01-16,1,2,2,1,1,정상,일반판매,판매,2023,12
157,2024-01-16,1,80,4,5,1,정상,일반판매,판매,2023,11
158,2024-01-16,1,81,1,1,1,정상,일반판매,판매,2023,11
159,2024-01-16,1,82,22,1,1,정상,일반판매,판매,2023,12
160,2024-01-16,1,83,9,1,1,정상,일반판매,판매,2022,12
161,2024-01-16,1,3,3,1,1,정상,일반판매,판매,2023,12
162,2024-01-16,1,23,8,4,1,기획,일반판매,판매,2023,12
163,2024-01-16,1,78,1,1,1,정상,일반판매,반품,2023,11
164,2024-01-16,1,48,2,1,1,정상,일반판매,반품,2023,12
165,2024-01-16,1,48,1,1,1,정상,일반판매,반품,2023,12
166,2024-01-16,1,23,8,4,1,기획,일반판매,반품,2023,12
167,2024-01-16,1,38,12,1,1,정상,일반판매,반품,2023,11
168,2024-01-16,1,13,1,1,1,정상,일반판매,반품,2023,10
169,2024-01-16,1,78,1,1,1,정상,일반판매,판매,2023,11
170,2024-01-16,1,48,2,1,1,정상,일반판매,판매,2023,12
171,2024-01-16,1,48,1,1,1,정상,일반판매,판매,2023,12
172,2024-01-16,1,23,8,4,1,기획,일반판매,판매,2023,12
173,2024-01-16,1,38,12,1,1,정상,일반판매,판매,2023,11
174,2024-01-16,1,84,2,1,1,정상,일반판매,판매,2023,11
175,2024-01-16,1,15,1,1,1,정상,일반판매,판매,2022,11
