의류 ID,속성 유형,속성 값
120,detail,포켓
120,texture,니트
120,print,무지
121,스타일,캐주얼
121,category,티셔츠
121,texture,저지
122,스타일,컨템포러리
122,category,티셔츠
122,texture,저지
123,스타일,캐주얼
123,category,티셔츠
123,texture,니트
123,print,무지
124,스타일,캐주얼
124,category,티셔츠
124,texture,저지
125,스타일,캐주얼
125,category,팬츠
125,texture,저지
126,스타일,캐주얼
126,category,청바지
126,texture,우븐
126,print,체크
127,스타일,페미니
127,category,티셔츠
127,texture,저지
127,print,그래픽
128,스타일,캐주얼
128,category,티셔츠
128,texture,저지
128,print,무지
129,스타일,컨템포러리
129,category,티셔츠
129,texture,저지
129,print,그래픽
130,스타일,페미니
130,category,티셔츠
130,texture,저지
130,print,그래픽
131,스타일,캐주얼
131,category,팬츠
131,texture,저지
131,print,무지
132,스타일,캐주얼
132,category,드레스
132,detail,스트링
132,texture,저지
132,print,무지
133,스타일,캐주얼
133,category,니트웨어
133,texture,니트
133,print,무지
134,스타일,컨템포러리
134,category,티셔츠
134,detail,단추
134,texture,저지
134,print,무지
135,스타일,캐주얼
135,category,팬츠
135,texture,우븐
136,스타일,캐주얼
136,category,티셔츠
136,texture,니트
136,print,그래픽
137,스타일,캐주얼
137,category,티셔츠
137,texture,저지
137,print,스트라이프
138,스타일,페미니
138,category,티셔츠
138,texture,저지
138,print,무지
139,스타일,캐주얼
139,category,티셔츠
139,texture,저지
139,print,그래픽
140,스타일,내추럴
140,category,티셔츠
140,texture,우븐
140,print,그래픽
141,스타일,캐주얼
141,category,티셔츠
141,texture,우븐
141,print,플로럴
142,스타일,페미니
142,category,티셔츠
142,texture,저지
142,print,무지
143,스타일,캐주얼
143,category,티셔츠
143,detail,슬릿
143,texture,저지
143,print,무지
144,스타일,컨템포러리
144,category,블라우스
144,texture,저지
144,print,스트라이프
145,스타일,캐주얼
145,category,티셔츠
145,texture,니트
145,print,그래픽
146,스타일,페미니
146,category,팬츠
146,texture,저지
146,print,무지
147,스타일,캐주얼
147,category,티셔츠
147,texture,저지
147,print,그래픽
148,스타일,캐주얼
148,category,티셔츠
148,texture,니트
148,print,무지
149,스타일,캐주얼
