의류 ID,속성 유형,속성 값
281,스타일,페미니
281,category,니트웨어
281,texture,니트
281,print,그래픽
282,스타일,캐주얼
282,category,티셔츠
282,texture,저지
282,print,그래픽
283,스타일,컨템포러리
283,category,드레스
283,texture,우븐
283,print,무지
284,스타일,컨템포러리
284,category,티셔츠
284,detail,포켓
284,texture,니트
284,print,스트라이프
285,스타일,컨템포러리
285,category,셔츠
285,detail,단추
285,texture,저지
285,print,무지
286,스타일,서브컬처
286,category,티셔츠
286,detail,단추
286,texture,니트
287,스타일,컨템포러리
287,category,코트
287,detail,띠
287,texture,우븐
287,print,무지
288,스타일,캐주얼
288,category,스커트
288,detail,슬릿
288,texture,저지
288,print,무지
289,스타일,컨템포러리
289,category,스커트
289,detail,단추
289,texture,저지
289,print,무지
29,스타일,캐주얼
29,category,스커트
29,detail,단추
29,texture,니트
29,print,무지
290,스타일,클래식
290,category,재킷
290,detail,단추
290,texture,우븐
290,print,무지
291,스타일,컨템포러리
291,category,드레스
291,detail,단추
291,texture,니트
291,print,무지
292,스타일,캐주얼
292,category,드레스
292,texture,우븐
292,print,도트
293,스타일,페미니
293,category,스커트
293,detail,단추
293,texture,니트
293,print,무지
294,스타일,컨템포러리
294,category,티셔츠
294,detail,단추
294,texture,니트
294,print,무지
295,스타일,캐주얼
295,category,스커트
295,detail,단추
295,texture,니트
295,print,무지
296,스타일,캐주얼
296,category,티셔츠
296,detail,단추
296,texture,데님
296,print,무지
297,스타일,캐주얼
297,category,코트
297,texture,우븐
298,스타일,캐주얼
298,category,재킷
298,texture,울/캐시미어
299,스타일,캐주얼
299,category,청바지
299,detail,단추
299,texture,니트
299,print,무지
3,스타일,캐주얼
3,category,티셔츠
3,texture,저지
3,print,그래픽
30,스타일,캐주얼
30,category,티셔츠
30,detail,단추
30,texture,우븐
30,print,무지
300,스타일,컨템포러리
300,category,스커트
300,detail,단추
300,texture,우븐
300,print,무지
301,스타일,캐주얼
301,category,티셔츠
301,detail,포켓
301,texture,저지
302,스타일,캐주얼
302,category,티셔츠
302,texture,우븐
302,print,스트라이프
303,스타일,캐주얼
303,category,팬츠
303,texture,우븐
303,print,그래픽
304,스타일,컨템포러리
304,category,스커트
304,detail,포켓
304,texture,니트
304,print,무지
305,스타일,컨템포러리
305,category,코트
305,detail,단추
305,texture,우븐
305,print,무지
306,스타일,페미니
306,category,코트
306,detail,단추
306,texture,울/캐시미어
306,print,무지
307,스타일,캐주얼
307,category,패딩
307,detail,단추
307,texture,우븐
307,print,무지
308,스타일,컨템포러리
308,category,청바지
308,texture,니트
308,print,무지
309,스타일,컨템포러리
309,category,청바지
309,detail,단추
309,texture,니트
309,print,무지
31,스타일,컨템포러리
31,category,드레스
31,detail,단추
31,texture,니트
31,print,무지
310,스타일,캐주얼
310,category,티셔츠
310,detail,단추
310,texture,니트
310,print,무지
311,스타일,컨템포러리
311,category,니트웨어
311,texture,니트
311,print,무지
312,스타일,캐주얼
312,category,팬츠
312,texture,니트
312,print,무지
313,스타일,캐주얼
313,category,스커트
313,detail,포켓
313,texture,니트
313,print,무지
314,스타일,클래식
314,category,스커트
314,detail,단추
314,texture,트위드
315,스타일,컨템포러리
315,category,드레스
315,detail,단추
315,texture,니트
315,print,무지
316,스타일,컨템포러리
316,category,코트
316,detail,포켓
316,texture,우븐
316,print,그래픽
317,스타일,컨템포러리
317,category,팬츠
317,texture,니트
317,print,무지
318,스타일,캐주얼
318,category,팬츠
318,texture,니트
319,스타일,캐주얼
319,category,티셔츠
319,texture,저지
319,print,무지
32,스타일,캐주얼
32,category,재킷
32,texture,니트
32,print,무지
320,스타일,컨템포러리
320,category,니트웨어
320,texture,니트
320,print,스트라이프
321,스타일,캐주얼
321,category,티셔츠
321,texture,니트
321,print,스트라이프
322,스타일,서브컬처
322,category,코트
322,texture,우븐
322,print,무지
323,스타일,컨템포러리
323,category,스커트
323,detail,포켓
323,print,무지
324,스타일,캐주얼
324,category,청바지
324,detail,디스트로이드
324,texture,데님
324,print,무지
325,스타일,페미니
325,category,블라우스
325,texture,우븐
325,print,무지
326,스타일,캐주얼
326,category,재킷
326,detail,포켓
326,texture,울/캐시미어
326,print,무지
327,스타일,컨템포러리
327,category,재킷
327,detail,포켓
327,texture,우븐
328,스타일,내추럴
328,category,셔츠
328,texture,우븐
328,print,무지
329,스타일,캐주얼
329,category,청바지
329,detail,슬릿
329,texture,우븐
329,print,무지
33,스타일,캐주얼
33,category,베스트
33,texture,니트
33,print,무지
330,스타일,컨템포러리
330,category,니트웨어
330,detail,포켓
330,texture,니트
330,print,무지
331,스타일,컨템포러리
331,category,스커트
331,detail,단추
331,texture,우븐
331,print,무지
332,스타일,컨템포러리
332,category,스커트
332,detail,단추
332,texture,울/캐시미어
332,print,무지
333,스타일,캐주얼
333,category,티셔츠
333,texture,니트
333,print,그래픽
334,스타일,캐주얼
334,category,티셔츠
334,detail,포켓
334,texture,우븐
334,print,그래픽
335,스타일,컨템포러리
335,category,재킷
335,detail,단추
335,texture,울/캐시미어
335,print,무지
336,스타일,캐주얼
336,category,드레스
336,detail,단추
336,texture,우븐
336,print,무지
337,스타일,컨템포러리
337,category,니트웨어
337,detail,단추
337,texture,저지
337,print,무지
338,스타일,컨템포러리
338,category,드레스
338,texture,저지
338,print,그래픽
339,스타일,캐주얼
339,category,청바지
339,texture,우븐
339,print,체크
34,스타일,캐주얼
34,category,스커트
34,texture,니트
34,print,무지
340,스타일,캐주얼
340,category,재킷
340,detail,단추
340,texture,울/캐시미어
340,print,무지
341,스타일,캐주얼
341,category,재킷
342,스타일,젠더리스
342,category,티셔츠
342,detail,디스트로이드
342,texture,데님
342,print,그래픽
343,스타일,캐주얼
343,category,드레스
343,texture,니트
343,print,스트라이프
344,스타일,캐주얼
344,category,코트
344,detail,단추
344,texture,니트
344,print,무지
345,스타일,페미니
345,category,스커트
345,texture,시폰
346,스타일,캐주얼
346,category,드레스
346,detail,단추
346,texture,니트
347,스타일,캐주얼
347,category,스커트
347,detail,단추
347,texture,니트
347,print,무지
348,스타일,캐주얼
348,category,점퍼
348,detail,단추
348,texture,우븐
348,print,무지
349,스타일,젠더리스
349,category,코트
349,detail,포켓
349,texture,니트
349,print,무지
35,스타일,컨템포러리
35,category,재킷
35,texture,우븐
35,print,무지
350,스타일,캐주얼
350,category,재킷
350,texture,우븐
350,print,무지
36,스타일,캐주얼
36,category,스커트
36,texture,울/캐시미어
37,스타일,캐주얼
37,category,니트웨어
37,detail,단추
37,texture,니트
37,print,무지
38,스타일,컨템포러리
38,category,드레스
38,texture,니트
38,print,그래픽
39,스타일,캐주얼
39,category,재킷
39,texture,울/캐시미어
4,스타일,캐주얼
4,category,재킷
4,detail,플리츠
4,texture,니트
4,print,무지
40,스타일,캐주얼
40,category,드레스
40,texture,우븐
40,print,무지
41,스타일,캐주얼
41,category,코트
41,detail,단추
41,texture,울/캐시미어
41,print,무지
42,스타일,클래식
42,category,티셔츠
42,detail,포켓
42,texture,니트
42,print,무지
43,스타일,컨템포러리
43,category,팬츠
43,texture,우븐
44,스타일,컨템포러리
44,category,티셔츠
44,texture,니트
44,print,무지
45,스타일,컨템포러리
45,category,재킷
45,texture,니트
45,print,그래픽
46,스타일,컨템포러리
46,category,재킷
46,detail,포켓
46,texture,우븐
46,print,무지
47,스타일,내추럴
47,category,드레스
47,detail,띠
47,texture,니트
47,print,도트
48,스타일,서브컬처
48,category,코트
48,detail,플리츠
48,texture,니트
48,print,무지
49,스타일,페미니
49,category,드레스
49,detail,포켓
49,texture,우븐
49,print,무지
5,스타일,페미니
5,category,드레스
5,texture,우븐
5,print,무지
50,스타일,캐주얼
50,category,드레스
