file_id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,style1,style2,style3
여성스커트\여성스커트_images_20240904_105421\317.jpg,-8.611808776855469,-8.705032348632812,-0.5641326904296875,-7.868624210357666,-7.088722229003906,0.6266660690307617,-11.361800193786621,-7.644804954528809,-3.5219838619232178,-0.7471190690994263,캐주얼,페미니,내추럴
여성스커트\여성스커트_images_20240904_105421\318.jpg,-2.0290722846984863,-4.95960807800293,-0.05688682198524475,-4.2685933113098145,-0.013877302408218384,-3.2591817378997803,-5.946866989135742,-6.671860694885254,-4.23005485534668,0.41421806812286377,페미니,컨템포러리,캐주얼
여성스커트\여성스커트_images_20240904_105421\319.jpg,-5.571577548980713,-6.066973686218262,-0.8030141592025757,-8.246253967285156,-1.1898677349090576,-0.21423012018203735,-8.019078254699707,-4.757321357727051,-5.079863548278809,2.221975803375244,페미니,내추럴,캐주얼
여성스커트\여성스커트_images_20240904_105421\32.jpg,-1.505934238433838,-2.9119372367858887,-6.1040191650390625,-7.737506866455078,4.165585041046143,-4.169500827789307,-2.75938081741333,-8.27067756652832,-6.865547180175781,-4.5563154220581055,젠더리스,클래식,컨템포러리
여성스커트\여성스커트_images_20240904_105421\320.jpg,-5.469474792480469,-17.594547271728516,-3.8945465087890625,-11.98121166229248,2.938643455505371,-7.018404006958008,-13.071847915649414,-20.592037200927734,-8.175969123840332,0.5115130543708801,페미니,캐주얼,컨템포러리
여성스커트\여성스커트_images_20240904_105421\321.jpg,-1.055508017539978,-7.7150115966796875,-1.9104750156402588,-6.398618698120117,2.247433662414551,-4.3182053565979,-5.501461982727051,-9.731266975402832,-2.3778011798858643,1.3860499858856201,클래식,캐주얼,컨템포러리
여성스커트\여성스커트_images_20240904_105421\322.jpg,-0.05333137512207031,-1.900045394897461,-1.1663024425506592,-1.6693744659423828,1.167880654335022,-5.306842803955078,-3.220763683319092,-4.881354808807373,-1.3360437154769897,-2.3521182537078857,페미니,클래식,컨템포러리
여성스커트\여성스커트_images_20240904_105421\323.jpg,-1.0348553657531738,-5.350080490112305,3.336636781692505,-6.847912788391113,-2.821650743484497,-3.6004199981689453,-7.352541923522949,-7.985471725463867,-7.522065162658691,-1.423372507095337,캐주얼,클래식,페미니
여성스커트\여성스커트_images_20240904_105421\324.jpg,-2.048828601837158,-2.4959349632263184,0.28369733691215515,-7.894099235534668,-2.893528461456299,-7.878147602081299,-6.2150774002075195,-7.345826148986816,-3.3240132331848145,0.6446660757064819,클래식,페미니,캐주얼
여성스커트\여성스커트_images_20240904_105421\325.jpg,-3.592862129211426,-6.901042938232422,-0.9585866928100586,-3.9606833457946777,-2.185547351837158,-1.3504420518875122,-4.993731498718262,-5.662546634674072,-5.30928897857666,-0.9764080047607422,내추럴,캐주얼,페미니
