Column1,Column2
image_path,style
여성가디건/338.jpg,"(9, 8, 2)"
여성가디건/339.jpg,"(9, 0, 2)"
여성가디건/34.jpg,"(4, 9, 5)"
여성가디건/340.jpg,"(9, 5, 1)"
여성가디건/341.jpg,"(9, 4, 1)"
여성가디건/342.jpg,"(6, 8, 9)"
여성가디건/343.jpg,"(9, 5, 7)"
여성가디건/344.jpg,"(9, 0, 6)"
여성가디건/345.jpg,"(9, 4, 5)"
여성가디건/346.jpg,"(9, 5, 4)"
여성가디건/347.jpg,"(9, 1, 0)"
여성가디건/348.jpg,"(9, 5, 1)"
여성가디건/349.jpg,"(9, 5, 4)"
여성가디건/35.jpg,"(9, 2, 0)"
여성가디건/350.jpg,"(9, 7, 2)"
여성가디건/36.jpg,"(9, 5, 4)"
여성가디건/37.jpg,"(9, 5, 4)"
여성가디건/38.jpg,"(9, 0, 5)"
여성가디건/39.jpg,"(9, 3, 0)"
여성가디건/4.jpg,"(9, 2, 0)"
여성가디건/40.jpg,"(5, 9, 3)"
여성가디건/41.jpg,"(9, 4, 5)"
여성가디건/42.jpg,"(9, 0, 2)"
여성가디건/43.jpg,"(4, 2, 0)"
여성가디건/44.jpg,"(9, 4, 5)"
여성가디건/45.jpg,"(9, 4, 5)"
여성가디건/46.jpg,"(4, 2, 0)"
여성가디건/47.jpg,"(5, 3, 8)"
여성가디건/48.jpg,"(0, 8, 4)"
여성가디건/49.jpg,"(2, 9, 5)"
여성가디건/5.jpg,"(9, 4, 2)"
여성가디건/50.jpg,"(9, 0, 2)"
여성가디건/51.jpg,"(9, 0, 2)"
여성가디건/52.jpg,"(9, 4, 1)"
여성가디건/53.jpg,"(9, 3, 8)"
여성가디건/54.jpg,"(4, 9, 0)"
여성가디건/55.jpg,"(9, 2, 5)"
여성가디건/56.jpg,"(9, 4, 5)"
여성가디건/57.jpg,"(9, 4, 2)"
여성가디건/58.jpg,"(9, 5, 2)"
여성가디건/59.jpg,"(2, 3, 9)"
여성가디건/6.jpg,"(9, 8, 4)"
여성가디건/60.jpg,"(9, 4, 0)"
여성가디건/61.jpg,"(9, 2, 0)"
여성가디건/62.jpg,"(2, 4, 8)"
여성가디건/63.jpg,"(2, 9, 4)"
여성가디건/64.jpg,"(4, 9, 2)"
여성가디건/65.jpg,"(2, 9, 4)"
여성가디건/66.jpg,"(9, 2, 5)"
여성가디건/67.jpg,"(2, 5, 9)"
여성가디건/68.jpg,"(4, 9, 2)"
여성가디건/69.jpg,"(9, 8, 4)"
여성가디건/7.jpg,"(9, 5, 4)"
여성가디건/70.jpg,"(4, 2, 9)"
여성가디건/71.jpg,"(9, 4, 6)"
여성가디건/72.jpg,"(4, 9, 5)"
여성가디건/73.jpg,"(4, 9, 2)"
여성가디건/74.jpg,"(9, 2, 1)"
여성가디건/75.jpg,"(4, 0, 3)"
여성가디건/76.jpg,"(9, 1, 8)"
여성가디건/77.jpg,"(4, 2, 0)"
여성가디건/78.jpg,"(4, 2, 0)"
여성가디건/79.jpg,"(9, 2, 5)"
여성가디건/8.jpg,"(4, 2, 9)"
여성가디건/80.jpg,"(9, 4, 2)"
여성가디건/81.jpg,"(9, 1, 2)"
여성가디건/82.jpg,"(9, 0, 8)"
여성가디건/83.jpg,"(9, 4, 5)"
여성가디건/84.jpg,"(9, 5, 2)"
여성가디건/85.jpg,"(5, 2, 4)"
여성가디건/86.jpg,"(4, 5, 2)"
여성가디건/87.jpg,"(9, 6, 1)"
여성가디건/88.jpg,"(4, 5, 9)"
여성가디건/89.jpg,"(5, 9, 4)"
여성가디건/9.jpg,"(9, 4, 5)"
여성가디건/90.jpg,"(9, 8, 0)"
여성가디건/91.jpg,"(2, 9, 0)"
