?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분,대분류,년,월,주차,복종,넘버
92,2024-01-13,직영점,A0020,부산모라점(직),5,기획,일반판매,AKL7PT002,P-버클부츠컷슬랙스,BK,블랙,XL,판매,의류,2023,12월,7,바지,002
93,2024-01-13,직영점,A0020,부산모라점(직),6,기획,일반판매,AKL7KT001,P-모드폴라니트,KH,카키,F,판매,의류,2023,12월,7,니트,001
94,2024-01-13,직영점,A0020,부산모라점(직),7,기획,일반판매,AKL7KT002,P-윈터폴라니트,GE,그린,F,판매,의류,2023,12월,7,니트,002
95,2024-01-13,직영점,A0020,부산모라점(직),7,기획,일반판매,AKL7KT003,P-로제폴라니트,BK,블랙,F,판매,의류,2023,12월,7,니트,003
96,2024-01-15,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7KT018,P3-라운드M니트,GR,회색,F,판매,의류,2023,12월,7,니트,018
97,2024-01-15,직영점,A0020,부산모라점(직),2,정상,일반판매,AKK7VT019,J-멜로우니트조끼,GE,그린,F,판매,의류,2023,11월,7,베스트,019
98,2024-01-15,직영점,A0020,부산모라점(직),3,정상,일반판매,AKL7KT011,J-에어벌룬니트,BE,베이지,F,판매,의류,2023,12월,7,니트,011
99,2024-01-15,직영점,A0020,부산모라점(직),4,기획,일반판매,AKK7JP024,P-비조폭스구스다운,BG,청록색,F,판매,의류,2023,11월,7,점퍼,024
100,2024-01-15,직영점,A0020,부산모라점(직),5,정상,일반판매,AHK7BL005,윈터레이스BL,BR,브라운,F,판매,의류,2020,11월,7,블라우스,005
101,2024-01-15,직영점,A0020,부산모라점(직),5,정상,일반판매,AEI1SK301,테레 캉캉스커트,VG,버건디,L,판매,의류,2017,9월,1,스커트,301
102,2024-01-15,직영점,A0020,부산모라점(직),5,정상,일반판매,AEI1SK301,테레 캉캉스커트,BL,블루,M,판매,의류,2017,9월,1,스커트,301
103,2024-01-15,직영점,A0020,부산모라점(직),5,정상,일반판매,AEH2TS501,아르웬 페미닌 티셔츠,,네이비,M,판매,의류,2017,8월,2,티셔츠,501
104,2024-01-15,직영점,A0020,부산모라점(직),5,정상,일반판매,AEH2TS501,아르웬 페미닌 티셔츠,WN,와인,M,판매,의류,2017,8월,2,티셔츠,501
105,2024-01-15,직영점,A0020,부산모라점(직),6,기획,일반판매,AKL7KT002,P-윈터폴라니트,GE,그린,F,판매,의류,2023,12월,7,니트,002
106,2024-01-15,직영점,A0020,부산모라점(직),6,정상,일반판매,AKK7KT017,J-루이폴라니트,BE,베이지,F,판매,의류,2023,11월,7,니트,017
107,2024-01-15,직영점,A0020,부산모라점(직),7,정상,일반판매,BJK3MF002,폴라어깨숄,BK,블랙,F,판매,잡화,2022,11월,3,머플러,002
108,2024-01-15,직영점,A0020,부산모라점(직),7,정상,일반판매,AJI7SK001,로엔니트스커트,BE,베이지,F,판매,의류,2022,9월,7,스커트,001
109,2024-01-16,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7KT017,P3-셀폴라니트,BK,블랙,F,판매,의류,2023,12월,7,니트,017
110,2024-01-16,직영점,A0020,부산모라점(직),2,정상,일반판매,AKL7DP006,P3-기모일자통데님,DL,진청,S,판매,의류,2023,12월,7,데님,006
111,2024-01-16,직영점,A0020,부산모라점(직),2,기획,일반판매,AKL7PT002,P-버클부츠컷슬랙스,BK,블랙,S,판매,의류,2023,12월,7,바지,002
112,2024-01-16,직영점,A0020,부산모라점(직),3,정상,일반판매,AKL7KT007,J-삼색단니트,BE,베이지,F,판매,의류,2023,12월,7,니트,007
