?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분,대분류,년,월,주차,복종,넘버
74,2024-01-20,직영점,A0070,부산만덕점(직),1,정상,20% 할인(직원할인),BKB7BG019,가든투웨이백,BK,블랙,F,판매,잡화,2023,2월,7,가방,19
75,2024-01-20,직영점,A0070,부산만덕점(직),2,정상,일반판매,AEK1TS501,언발란스 슬림 짚업티셔츠,GR,회색,M,판매,의류,2017,11월,1,티셔츠,501
76,2024-01-20,직영점,A0070,부산만덕점(직),2,정상,일반판매,AEK1TS501,언발란스 슬림 짚업티셔츠,BK,블랙,XL,판매,의류,2017,11월,1,티셔츠,501
77,2024-01-20,직영점,A0070,부산만덕점(직),3,기획,일반판매,AKK7JP016,P-토니덕다운점퍼,BE,베이지,F,판매,의류,2023,11월,7,점퍼,16
78,2024-01-20,직영점,A0070,부산만덕점(직),3,정상,일반판매,AEK1TS501,언발란스 슬림 짚업티셔츠,GR,회색,M,판매,의류,2017,11월,1,티셔츠,501
79,2024-01-20,직영점,A0070,부산만덕점(직),3,정상,일반판매,AEI2OP301,아게다 터틀넥 원피스,BK,블랙,L,판매,의류,2017,9월,2,원피스,301
80,2024-01-21,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKL3DP003,S-노이세미기모통데님,DL,진청,M,판매,의류,2023,12월,3,데님,3
81,2024-01-23,직영점,A0070,부산만덕점(직),1,정상,일반판매,AJA3KT004,S-은하수,IV,아이보리,F,판매,의류,2022,1월,3,니트,4
82,2024-01-23,직영점,A0070,부산만덕점(직),2,정상,일반판매,AJC4TS002,M-리엔T,GR,회색,L,판매,의류,2022,3월,4,티셔츠,2
83,2024-01-23,직영점,A0070,부산만덕점(직),3,정상,일반판매,AJI7CA002,라인니트집업,BK,블랙,F,판매,의류,2022,9월,7,가디건,2
84,2024-01-23,직영점,A0070,부산만덕점(직),3,정상,일반판매,AEK1OP604,모즈룩 도트자카드 원피스,BK,블랙,L,판매,의류,2017,11월,1,원피스,604
85,2024-01-23,직영점,A0070,부산만덕점(직),4,정상,일반판매,AHK7TS019,유고터들T,PK,핑크,F,판매,의류,2020,11월,7,티셔츠,19
86,2024-01-24,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKL3KT001,S-셀리폴라KT,GR,회색,F,판매,의류,2023,12월,3,니트,1
87,2024-01-24,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKJ3PT005,C-8부포켓골덴통,MU,머스타드,F,판매,의류,2023,10월,3,바지,5
88,2024-01-24,직영점,A0070,부산만덕점(직),1,정상,일반판매,AGL7WS001,퍼믹스남방,YE,옐로우,F,판매,의류,2019,12월,7,남방,1
89,2024-01-24,직영점,A0070,부산만덕점(직),2,정상,일반판매,AIL4WS001,S-R체크NB,,네이비,F,판매,의류,2021,12월,4,남방,1
90,2024-01-25,직영점,A0070,부산만덕점(직),1,정상,일반판매,AEJ1CT501,헌팅턴 라글란 스포티 코트,KH,카키,M,판매,의류,2017,10월,1,코트,501
91,2024-01-25,직영점,A0070,부산만덕점(직),1,정상,일반판매,AEK1TS501,언발란스 슬림 짚업티셔츠,BK,블랙,S,판매,의류,2017,11월,1,티셔츠,501
