?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분,대분류,년,월,주차,복종,넘버
49,2024-01-04,직영점,A0024,부산두실점(직),1,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매,커피,2013,사계절,0,커피,2
50,2024-01-04,직영점,A0024,부산두실점(직),2,정상,일반판매,AKL7PT004,J-다이아누비팬츠,BK,블랙,F,판매,의류,2023,12월,7,바지,4
51,2024-01-04,직영점,A0024,부산두실점(직),3,정상,일반판매,AKK7JP003,J-파스텔단추덕다운,PK,핑크,F,판매,의류,2023,11월,7,점퍼,3
52,2024-01-04,직영점,A0024,부산두실점(직),4,정상,일반판매,AKL7DP006,P3-기모일자통데님,DL,진청,L,판매,의류,2023,12월,7,데님,6
53,2024-01-04,직영점,A0024,부산두실점(직),5,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매,커피,2013,사계절,0,커피,2
54,2024-01-04,직영점,A0024,부산두실점(직),5,정상,일반판매,ZA00CO003,카페라떼(음료),XX,XX,XX,판매,커피,2013,사계절,0,커피,3
55,2024-01-04,직영점,A0024,부산두실점(직),6,정상,일반판매,AKL7DP006,P3-기모일자통데님,DL,진청,L,판매,의류,2023,12월,7,데님,6
56,2024-01-04,직영점,A0024,부산두실점(직),6,정상,일반판매,AIC7KT006,펀칭꽃니트,BL,블루,F,판매,의류,2021,3월,7,니트,6
57,2024-01-04,직영점,A0024,부산두실점(직),7,정상,일반판매,AKL7JP005,P-폭스사파리덕다운,BK,블랙,F,판매,의류,2023,12월,7,점퍼,5
58,2024-01-04,직영점,A0024,부산두실점(직),8,정상,일반판매,AKL7KT017,P3-셀폴라니트,GR,회색,F,판매,의류,2023,12월,7,니트,17
59,2024-01-04,직영점,A0024,부산두실점(직),9,기획,일반판매,AKK7TS002,P-폴라기모T,MO,모카,F,판매,의류,2023,11월,7,티셔츠,2
60,2024-01-04,직영점,A0024,부산두실점(직),9,기획,일반판매,AKK7TS002,P-폴라기모T,BK,블랙,F,판매,의류,2023,11월,7,티셔츠,2
61,2024-01-04,직영점,A0024,부산두실점(직),10,정상,일반판매,AJL3JP020,S-지크구스롱JP,KH,카키,F,판매,의류,2022,12월,3,점퍼,20
62,2024-01-04,직영점,A0024,부산두실점(직),11,정상,일반판매,AKI7KT025,J-라인브이가디건,OR,오렌지,F,판매,의류,2023,9월,7,니트,25
63,2024-01-04,직영점,A0024,부산두실점(직),12,정상,일반판매,AHK7KT010,라인KT,RE,레드,F,판매,의류,2020,11월,7,니트,10
64,2024-01-04,직영점,A0024,부산두실점(직),12,기획,일반판매,AKL7KT001,P-모드폴라니트,KH,카키,F,판매,의류,2023,12월,7,니트,1
65,2024-01-04,직영점,A0024,부산두실점(직),13,정상,일반판매,AHK7KT010,라인KT,RE,레드,F,반품,의류,2020,11월,7,니트,10
66,2024-01-04,직영점,A0024,부산두실점(직),13,기획,일반판매,AKL7KT001,P-모드폴라니트,KH,카키,F,반품,의류,2023,12월,7,니트,1
67,2024-01-04,직영점,A0024,부산두실점(직),14,정상,일반판매,AJL7KT016,하플KT,PK,핑크,F,판매,의류,2022,12월,7,니트,16
68,2024-01-04,직영점,A0024,부산두실점(직),15,기획,일반판매,AKL7KT002,P-윈터폴라니트,BK,블랙,F,판매,의류,2023,12월,7,니트,2
69,2024-01-04,직영점,A0024,부산두실점(직),16,정상,일반판매,AKK3PT014,C-체크기모부츠컷,GR,회색,L,판매,의류,2023,11월,3,바지,14
70,2024-01-05,직영점,A0024,부산두실점(직),1,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매,커피,2013,사계절,0,커피,2
71,2024-01-05,직영점,A0024,부산두실점(직),2,정상,일반판매,ZA00CO046,레몬생강차(음료),XX,XX,XX,판매,커피,2013,사계절,0,커피,46
72,2024-01-05,직영점,A0024,부산두실점(직),3,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매,커피,2013,사계절,0,커피,2
73,2024-01-05,직영점,A0024,부산두실점(직),4,정상,일반판매,AKL7KT005,J-젤리반폴니트,BK,블랙,F,판매,의류,2023,12월,7,니트,5
74,2024-01-05,직영점,A0024,부산두실점(직),4,정상,일반판매,AKL7KT017,P3-셀폴라니트,BK,블랙,F,판매,의류,2023,12월,7,니트,17
75,2024-01-05,직영점,A0024,부산두실점(직),5,정상,일반판매,AKK3PT013,C-시보리골덴배기(기모),BE,베이지,L,판매,의류,2023,11월,3,바지,13
76,2024-01-05,직영점,A0024,부산두실점(직),5,정상,일반판매,BKL4CP016,뜨뜨귀꽈배기햇,LB,연한베이지,F,판매,잡화,2023,12월,4,모자,16
77,2024-01-05,직영점,A0024,부산두실점(직),6,정상,일반판매,AJI7SK004,플레어니트스커트,BK,블랙,F,판매,의류,2022,9월,7,스커트,4
78,2024-01-05,직영점,A0024,부산두실점(직),6,정상,일반판매,AKK7VT021,J-폴라집업조끼,IV,아이보리,F,판매,의류,2023,11월,7,베스트,21
79,2024-01-05,직영점,A0024,부산두실점(직),7,정상,일반판매,AKL7DP006,P3-기모일자통데님,DL,진청,L,반품,의류,2023,12월,7,데님,6
80,2024-01-05,직영점,A0024,부산두실점(직),7,정상,일반판매,AIC7KT006,펀칭꽃니트,BL,블루,F,반품,의류,2021,3월,7,니트,6
81,2024-01-05,직영점,A0024,부산두실점(직),8,정상,일반판매,AIC7KT006,펀칭꽃니트,BL,블루,F,판매,의류,2021,3월,7,니트,6
82,2024-01-05,직영점,A0024,부산두실점(직),8,정상,일반판매,AJB7VT007,베어체인조끼,IV,아이보리,F,판매,의류,2022,2월,7,베스트,7
83,2024-01-05,직영점,A0024,부산두실점(직),9,정상,일반판매,AHK7JP007,라인패딩JP,BK,블랙,F,판매,의류,2020,11월,7,점퍼,7
84,2024-01-05,직영점,A0024,부산두실점(직),10,정상,일반판매,AKB3KT024,C-소잉스퀘어골지슬림니트,PK,핑크,F,판매,의류,2023,2월,3,니트,24
85,2024-01-05,직영점,A0024,부산두실점(직),10,정상,일반판매,AKK7SK002,J-플레어니트스커트,PK,핑크,F,판매,의류,2023,11월,7,스커트,2
86,2024-01-05,직영점,A0024,부산두실점(직),11,정상,일반판매,BKL4CP009,울꽈배기귀도리,CG,차콜그레이,F,판매,잡화,2023,12월,4,모자,9
87,2024-01-05,직영점,A0024,부산두실점(직),12,정상,일반판매,AEK1KN706,라운드 H롱 니트,KH,카키,F,판매,의류,2017,11월,1,니트나시,706
88,2024-01-05,직영점,A0024,부산두실점(직),12,정상,일반판매,AHK7KT010,라인KT,RE,레드,F,판매,의류,2020,11월,7,니트,10
89,2024-01-05,직영점,A0024,부산두실점(직),13,정상,일반판매,AKK3PT013,C-시보리골덴배기(기모),BE,베이지,L,반품,의류,2023,11월,3,바지,13
90,2024-01-05,직영점,A0024,부산두실점(직),13,정상,일반판매,BKL4CP016,뜨뜨귀꽈배기햇,LB,연한베이지,F,반품,잡화,2023,12월,4,모자,16
91,2024-01-05,직영점,A0024,부산두실점(직),14,정상,일반판매,AKK3PT013,C-시보리골덴배기(기모),BE,베이지,L,판매,의류,2023,11월,3,바지,13
92,2024-01-05,직영점,A0024,부산두실점(직),14,정상,일반판매,BKL4CP016,뜨뜨귀꽈배기햇,LB,연한베이지,F,판매,잡화,2023,12월,4,모자,16
93,2024-01-06,직영점,A0024,부산두실점(직),1,정상,일반판매,AKK3PT006,S-시보리기모배기팬츠,BK,블랙,L,판매,의류,2023,11월,3,바지,6
94,2024-01-06,직영점,A0024,부산두실점(직),2,정상,일반판매,AKL7JP002,J-니팅배색덕다운,PK,핑크,F,판매,의류,2023,12월,7,점퍼,2
95,2024-01-06,직영점,A0024,부산두실점(직),3,정상,일반판매,AKJ7JP006,J-무브덕다운점퍼,GR,회색,F,판매,의류,2023,10월,7,점퍼,6
96,2024-01-06,직영점,A0024,부산두실점(직),3,정상,일반판매,BKL7MF008,핸메퍼머플러,BK,블랙,F,판매,잡화,2023,12월,7,머플러,8
97,2024-01-06,직영점,A0024,부산두실점(직),4,정상,일반판매,AIL7DP004,하트샵자수청,DL,진청,F,판매,의류,2021,12월,7,데님,4
98,2024-01-06,직영점,A0024,부산두실점(직),5,정상,일반판매,AKL7PT003,P3-누빔조거팬츠,BK,블랙,F,판매,의류,2023,12월,7,바지,3
99,2024-01-06,직영점,A0024,부산두실점(직),6,정상,일반판매,AKK3PT014,C-체크기모부츠컷,GR,회색,M,판매,의류,2023,11월,3,바지,14
100,2024-01-06,직영점,A0024,부산두실점(직),6,정상,일반판매,AKK3PT002,C-더치골덴통바지(기모),IV,아이보리,M,판매,의류,2023,11월,3,바지,2
101,2024-01-06,직영점,A0024,부산두실점(직),7,정상,일반판매,AKL7KT007,J-삼색단니트,PP,퍼플,F,판매,의류,2023,12월,7,니트,7
102,2024-01-06,직영점,A0024,부산두실점(직),7,정상,일반판매,AKK7VT015,J-엘라퍼조끼,BE,베이지,F,판매,의류,2023,11월,7,베스트,15
103,2024-01-06,직영점,A0024,부산두실점(직),8,정상,일반판매,AKK3PT007,S-기모건빵바지,BK,블랙,L,판매,의류,2023,11월,3,바지,7
104,2024-01-06,직영점,A0024,부산두실점(직),8,정상,일반판매,AKL7TS008,P4-스퀘어반폴T,MO,모카,F,판매,의류,2023,12월,7,티셔츠,8
105,2024-01-06,직영점,A0024,부산두실점(직),8,정상,일반판매,BKL4SC008,포근니트삭스(2pcs),XX,XX,F,판매,잡화,2023,12월,4,양말,8
106,2024-01-06,직영점,A0024,부산두실점(직),9,정상,일반판매,AKL7KT008,J-스트라이프니트,BE,베이지,F,판매,의류,2023,12월,7,니트,8
107,2024-01-06,직영점,A0024,부산두실점(직),9,기획,일반판매,AKI7KT012,J-컬러반폴니트,DP,진핑크,F,판매,의류,2023,9월,7,니트,12
108,2024-01-06,직영점,A0024,부산두실점(직),10,정상,일반판매,AKK7VT026,J-모드브이니트조끼,,네이비,F,판매,의류,2023,11월,7,베스트,26
109,2024-01-06,직영점,A0024,부산두실점(직),10,정상,일반판매,AKK7VT026,J-모드브이니트조끼,BE,베이지,F,판매,의류,2023,11월,7,베스트,26
110,2024-01-06,직영점,A0024,부산두실점(직),10,정상,일반판매,AKI7KT025,J-라인브이가디건,OR,오렌지,F,판매,의류,2023,9월,7,니트,25
111,2024-01-06,직영점,A0024,부산두실점(직),11,정상,일반판매,BKL7MF004,와플니트고리,GE,그린,F,판매,잡화,2023,12월,7,머플러,4
112,2024-01-06,직영점,A0024,부산두실점(직),11,정상,일반판매,AKJ7KT001,J-심플라운드니트,IV,아이보리,F,판매,의류,2023,10월,7,니트,1
113,2024-01-06,직영점,A0024,부산두실점(직),11,정상,일반판매,AEI2SK602,토머버리 랩스타일 언밸런스 스커트,BL,블루,M,판매,의류,2017,9월,2,스커트,602
114,2024-01-06,직영점,A0024,부산두실점(직),11,정상,일반판매,AEJ1KN201,슬로베니아 니트케이프,BK,블랙,M,판매,의류,2017,10월,1,니트나시,201
115,2024-01-06,직영점,A0024,부산두실점(직),11,정상,일반판매,AJJ3PT014,S-아미배기,BK,블랙,F,판매,의류,2022,10월,3,바지,14
116,2024-01-06,직영점,A0024,부산두실점(직),12,정상,일반판매,AIL7DP004,하트샵자수청,DL,진청,F,판매,의류,2021,12월,7,데님,4
117,2024-01-06,직영점,A0024,부산두실점(직),12,정상,일반판매,BKK7BG002,J-마킹백팩,BK,블랙,F,판매,잡화,2023,11월,7,가방,2
118,2024-01-06,직영점,A0024,부산두실점(직),13,정상,일반판매,AJJ3PT014,S-아미배기,BK,블랙,L,판매,의류,2022,10월,3,바지,14
119,2024-01-06,직영점,A0024,부산두실점(직),13,정상,일반판매,AJJ3PT014,S-아미배기,BK,블랙,F,판매,의류,2022,10월,3,바지,14
120,2024-01-07,직영점,A0024,부산두실점(직),1,정상,일반판매,ZA00CO046,레몬생강차(음료),XX,XX,XX,판매,커피,2013,사계절,0,커피,46
121,2024-01-07,직영점,A0024,부산두실점(직),1,정상,일반판매,ZA00CO004,카푸치노(음료),XX,XX,XX,판매,커피,2013,사계절,0,커피,4
122,2024-01-07,직영점,A0024,부산두실점(직),1,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매,커피,2013,사계절,0,커피,2
123,2024-01-07,직영점,A0024,부산두실점(직),2,정상,일반판매,AEK1PT602,오발 캐주얼 바지,GR,회색,M,판매,의류,2017,11월,1,바지,602
124,2024-01-07,직영점,A0024,부산두실점(직),3,정상,일반판매,AII3JK007,S-사선지퍼레자,BK,블랙,F,판매,의류,2021,9월,3,자켓,7
125,2024-01-07,직영점,A0024,부산두실점(직),4,기획,일반판매,AKI7KT012,J-컬러반폴니트,DP,진핑크,F,판매,의류,2023,9월,7,니트,12
126,2024-01-07,직영점,A0024,부산두실점(직),5,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매,커피,2013,사계절,0,커피,2
127,2024-01-07,직영점,A0024,부산두실점(직),6,기획,일반판매,AKL7KT002,P-윈터폴라니트,GE,그린,F,판매,의류,2023,12월,7,니트,2
128,2024-01-07,직영점,A0024,부산두실점(직),7,정상,일반판매,AKL7DP006,P3-기모일자통데님,DL,진청,L,판매,의류,2023,12월,7,데님,6
129,2024-01-07,직영점,A0024,부산두실점(직),7,정상,일반판매,AKJ7DP002,J-로튼데님배기,DL,진청,M,판매,의류,2023,10월,7,데님,2
130,2024-01-07,직영점,A0024,부산두실점(직),8,정상,일반판매,AKK3DP001,C-다비기모통데님,DL,진청,M,판매,의류,2023,11월,3,데님,1
131,2024-01-07,직영점,A0024,부산두실점(직),8,정상,일반판매,AJK7VT007,에잇다운조끼,BK,블랙,F,판매,의류,2022,11월,7,베스트,7
132,2024-01-07,직영점,A0024,부산두실점(직),8,정상,일반판매,AKK3PT013,C-시보리골덴배기(기모),KH,카키,M,판매,의류,2023,11월,3,바지,13
133,2024-01-07,직영점,A0024,부산두실점(직),9,정상,일반판매,AKK3PT013,C-시보리골덴배기(기모),BE,베이지,L,판매,의류,2023,11월,3,바지,13
134,2024-01-07,직영점,A0024,부산두실점(직),9,정상,일반판매,AKK3PT013,C-시보리골덴배기(기모),KH,카키,M,판매,의류,2023,11월,3,바지,13
135,2024-01-08,직영점,A0024,부산두실점(직),1,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매,커피,2013,사계절,0,커피,2
136,2024-01-08,직영점,A0024,부산두실점(직),2,기획,일반판매,AKL7KT003,P-로제폴라니트,IV,아이보리,F,판매,의류,2023,12월,7,니트,3
137,2024-01-08,직영점,A0024,부산두실점(직),3,정상,일반판매,BKL4GV002,보카무지장갑,XX,XX,F,판매,잡화,2023,12월,4,장갑,2
138,2024-01-08,직영점,A0024,부산두실점(직),4,정상,일반판매,BJK4GV002,엄지검지터치장갑,XX,XX,F,판매,잡화,2022,11월,4,장갑,2
139,2024-01-08,직영점,A0024,부산두실점(직),4,정상,일반판매,BJK4SC003,메이플중목삭스(2pcs),XX,XX,F,판매,잡화,2022,11월,4,양말,3
140,2024-01-08,직영점,A0024,부산두실점(직),5,정상,일반판매,AEK1CT403,유러피안 퍼 롱 코트,BE,베이지,L,판매,의류,2017,11월,1,코트,403
141,2024-01-08,직영점,A0024,부산두실점(직),5,정상,일반판매,AJK7KT005,레이즈베어니트,RE,레드,F,판매,의류,2022,11월,7,니트,5
142,2024-01-08,직영점,A0024,부산두실점(직),6,정상,일반판매,ZA00CO003,카페라떼(음료),XX,XX,XX,판매,커피,2013,사계절,0,커피,3
143,2024-01-08,직영점,A0024,부산두실점(직),7,정상,일반판매,BJK4SC003,메이플중목삭스(2pcs),XX,XX,F,판매,잡화,2022,11월,4,양말,3
144,2024-01-08,직영점,A0024,부산두실점(직),8,정상,일반판매,AIK3TS022,S-기모H,KH,카키,F,판매,의류,2021,11월,3,티셔츠,22
145,2024-01-08,직영점,A0024,부산두실점(직),8,정상,일반판매,AKL7KT019,P3-사선반폴니트,BR,브라운,F,판매,의류,2023,12월,7,니트,19
146,2024-01-08,직영점,A0024,부산두실점(직),9,정상,일반판매,BKL7BG014,J-페페숄더백,GE,그린,F,판매,잡화,2023,12월,7,가방,14
147,2024-01-08,직영점,A0024,부산두실점(직),10,기획,일반판매,AKL7DP005,P-미니스마일데님배기,DL,진청,F,판매,의류,2023,12월,7,데님,5
