?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분,대분류,년,월,주차,복종,넘버
53,2024-01-04,직영점,A0086,부산구서점(직),11,정상,일반판매,AKK7VT021,J-폴라집업조끼,GR,회색,F,반품,의류,2023,11월,7,베스트,021
54,2024-01-04,직영점,A0086,부산구서점(직),11,정상,일반판매,AKK3PT007,S-기모건빵바지,BK,블랙,M,반품,의류,2023,11월,3,바지,007
55,2024-01-04,직영점,A0086,부산구서점(직),12,정상,일반판매,AKJ7KT003,J-큐빅골지니트,BR,브라운,F,판매,의류,2023,10월,7,니트,003
56,2024-01-04,직영점,A0086,부산구서점(직),12,정상,일반판매,AKL7KT017,P3-셀폴라니트,BK,블랙,F,판매,의류,2023,12월,7,니트,017
57,2024-01-04,직영점,A0086,부산구서점(직),12,정상,일반판매,AKK7VT021,J-폴라집업조끼,GR,회색,F,판매,의류,2023,11월,7,베스트,021
58,2024-01-04,직영점,A0086,부산구서점(직),12,정상,일반판매,AKK3PT007,S-기모건빵바지,BK,블랙,M,판매,의류,2023,11월,3,바지,007
59,2024-01-04,직영점,A0086,부산구서점(직),12,정상,일반판매,AKJ3VT004,C-버튼니트조끼,BR,브라운,F,판매,의류,2023,10월,3,베스트,004
60,2024-01-04,직영점,A0086,부산구서점(직),13,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BE,베이지,F,반품,의류,2023,12월,3,점퍼,011
61,2024-01-04,직영점,A0086,부산구서점(직),14,정상,일반판매,AKL7VT001,J-벨트후드덕다운조끼,BR,브라운,F,판매,의류,2023,12월,7,베스트,001
62,2024-01-04,직영점,A0086,부산구서점(직),15,정상,일반판매,AKL3KT001,S-셀리폴라KT,BK,블랙,F,판매,의류,2023,12월,3,니트,001
63,2024-01-04,직영점,A0086,부산구서점(직),16,정상,일반판매,AKJ7JP010,J-네모덕다운점퍼,BE,베이지,F,판매,의류,2023,10월,7,점퍼,010
64,2024-01-04,직영점,A0086,부산구서점(직),16,정상,일반판매,AKL3PT006,C-올리기모와이드슬랙스,BE,베이지,F,판매,의류,2023,12월,3,바지,006
65,2024-01-04,직영점,A0086,부산구서점(직),16,정상,일반판매,AKL7KT020,P3-크로스폴라니트,BE,베이지,F,판매,의류,2023,12월,7,니트,020
66,2024-01-04,직영점,A0086,부산구서점(직),17,정상,일반판매,AKL3PT006,C-올리기모와이드슬랙스,BE,베이지,L,판매,의류,2023,12월,3,바지,006
67,2024-01-04,직영점,A0086,부산구서점(직),18,기획,일반판매,AKK7JP019,P-샤인후드덕다운,BK,블랙,F,판매,의류,2023,11월,7,점퍼,019
68,2024-01-04,직영점,A0086,부산구서점(직),19,정상,일반판매,AKL3PT006,C-올리기모와이드슬랙스,BK,블랙,L,반품,의류,2023,12월,3,바지,006
69,2024-01-05,직영점,A0086,부산구서점(직),1,정상,일반판매,AKK3PT005,C-스타기모통(23),OT,오트밀,M,판매,의류,2023,11월,3,바지,005
70,2024-01-05,직영점,A0086,부산구서점(직),2,정상,일반판매,AKL7KT005,J-젤리반폴니트,BE,베이지,F,판매,의류,2023,12월,7,니트,005
71,2024-01-05,직영점,A0086,부산구서점(직),2,정상,일반판매,AKK3PT015,C-윈디울부츠컷,CH,챠콜,L,판매,의류,2023,11월,3,바지,015
72,2024-01-05,직영점,A0086,부산구서점(직),2,정상,일반판매,BKI7BG009,리치투웨이백,BK,블랙,F,판매,잡화,2023,9월,7,가방,009
73,2024-01-05,직영점,A0086,부산구서점(직),3,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BK,블랙,F,판매,의류,2023,12월,3,점퍼,011
74,2024-01-05,직영점,A0086,부산구서점(직),4,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BK,블랙,F,반품,의류,2023,12월,3,점퍼,011
75,2024-01-05,직영점,A0086,부산구서점(직),5,정상,20% 할인(직원할인),AKL3DP004,C-브로디롱큐롯데님(기모),ML,중청,S,판매,의류,2023,12월,3,데님,004
76,2024-01-05,직영점,A0086,부산구서점(직),5,정상,20% 할인(직원할인),AKL3JP011,S-뒷주름퍼JP,BE,베이지,F,판매,의류,2023,12월,3,점퍼,011
77,2024-01-05,직영점,A0086,부산구서점(직),6,정상,20% 할인(직원할인),AKK3PT005,C-스타기모통(23),OT,오트밀,M,판매,의류,2023,11월,3,바지,005
78,2024-01-05,직영점,A0086,부산구서점(직),7,정상,20% 할인(직원할인),AKL3PT006,C-올리기모와이드슬랙스,BK,블랙,L,판매,의류,2023,12월,3,바지,006
79,2024-01-06,직영점,A0086,부산구서점(직),1,정상,일반판매,BKK7BG004,J-A비즈백팩,BK,블랙,F,판매,잡화,2023,11월,7,가방,004
80,2024-01-06,직영점,A0086,부산구서점(직),2,기획,일반판매,AKK7TS002,P-폴라기모T,BK,블랙,F,판매,의류,2023,11월,7,티셔츠,002
81,2024-01-06,직영점,A0086,부산구서점(직),2,기획,일반판매,AKK7TS002,P-폴라기모T,BG,청록색,F,판매,의류,2023,11월,7,티셔츠,002
82,2024-01-06,직영점,A0086,부산구서점(직),2,정상,일반판매,AJL3PT003,C-빅포켓배기팬츠,BK,블랙,M,판매,의류,2022,12월,3,바지,003
83,2024-01-06,직영점,A0086,부산구서점(직),3,정상,일반판매,AHI7OP005,브이니트OP,BE,베이지,F,판매,의류,2020,9월,7,원피스,005
84,2024-01-06,직영점,A0086,부산구서점(직),4,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BE,베이지,F,판매,의류,2023,12월,3,점퍼,011
85,2024-01-06,직영점,A0086,부산구서점(직),4,기획,일반판매,AKJ7TS001,J-베이직폴라T,DB,다크베이지,F,판매,의류,2023,10월,7,티셔츠,001
86,2024-01-07,직영점,A0086,부산구서점(직),1,정상,일반판매,AKI7JP014,J-니쥬니트집업,BK,블랙,F,판매,의류,2023,9월,7,점퍼,014
87,2024-01-07,직영점,A0086,부산구서점(직),2,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BK,블랙,F,판매,의류,2023,12월,3,점퍼,011
88,2024-01-07,직영점,A0086,부산구서점(직),3,정상,일반판매,AKL7KT019,P3-사선반폴니트,BK,블랙,F,판매,의류,2023,12월,7,니트,019
89,2024-01-07,직영점,A0086,부산구서점(직),3,정상,일반판매,AKI3DP002,C-브로디롱큐롯데님,ML,중청,L,판매,의류,2023,9월,3,데님,002
90,2024-01-08,직영점,A0086,부산구서점(직),1,정상,일반판매,AKL7KT016,J-글리배색반폴니트,BE,베이지,F,판매,의류,2023,12월,7,니트,016
91,2024-01-08,직영점,A0086,부산구서점(직),1,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,M,판매,의류,2023,12월,7,바지,001
92,2024-01-08,직영점,A0086,부산구서점(직),2,정상,일반판매,BKL7MF005,컬러풀머플러,RE,레드,F,판매,잡화,2023,12월,7,머플러,005
93,2024-01-08,직영점,A0086,부산구서점(직),2,정상,일반판매,BKL4CP007,타조돌돌이챙,CG,차콜그레이,F,판매,잡화,2023,12월,4,모자,007
94,2024-01-08,직영점,A0086,부산구서점(직),3,정상,일반판매,AKL7JP001,P-모드롱덕다운패딩,BR,브라운,F,판매,의류,2023,12월,7,점퍼,001
95,2024-01-09,직영점,A0086,부산구서점(직),1,정상,일반판매,AKK7JP025,J-엔조퍼후드점퍼,GR,회색,F,판매,의류,2023,11월,7,점퍼,025
96,2024-01-09,직영점,A0086,부산구서점(직),2,정상,일반판매,BJK4SB009,세무하이탑(9541),BK,블랙,40,판매,잡화,2022,11월,4,신발,009
97,2024-01-09,직영점,A0086,부산구서점(직),3,정상,일반판매,AKJ7DP002,J-로튼데님배기,DL,진청,S,판매,의류,2023,10월,7,데님,002
98,2024-01-09,직영점,A0086,부산구서점(직),3,기획,일반판매,AKI7KT012,J-컬러반폴니트,RE,레드,F,판매,의류,2023,9월,7,니트,012
99,2024-01-10,직영점,A0086,부산구서점(직),1,정상,일반판매,AKL7KT015,J-눈꽃소녀니트,,네이비,F,판매,의류,2023,12월,7,니트,015
100,2024-01-10,직영점,A0086,부산구서점(직),2,정상,일반판매,AKK7VT013,J-페이퍼니트조끼,RE,레드,F,판매,의류,2023,11월,7,베스트,013
101,2024-01-10,직영점,A0086,부산구서점(직),3,정상,일반판매,BKJ3CP007,울야구,PK,핑크,F,판매,잡화,2023,10월,3,모자,007
102,2024-01-10,직영점,A0086,부산구서점(직),4,정상,일반판매,AKJ7DP002,J-로튼데님배기,DL,진청,S,반품,의류,2023,10월,7,데님,002
103,2024-01-10,직영점,A0086,부산구서점(직),4,기획,일반판매,AKI7KT012,J-컬러반폴니트,RE,레드,F,반품,의류,2023,9월,7,니트,012
104,2024-01-10,직영점,A0086,부산구서점(직),5,정상,일반판매,AKJ7DP002,J-로튼데님배기,DL,진청,M,판매,의류,2023,10월,7,데님,002
105,2024-01-10,직영점,A0086,부산구서점(직),6,정상,일반판매,AEJ1OP501,리옹 후드 슬리브리스 코튼원피스,KH,카키,L,판매,의류,2017,10월,1,원피스,501
106,2024-01-10,직영점,A0086,부산구서점(직),7,정상,일반판매,AKL3JP009,C-사각자수후드패딩,LB,연한베이지,F,판매,의류,2023,12월,3,점퍼,009
107,2024-01-11,직영점,A0086,부산구서점(직),1,정상,일반판매,AIL3PT015,Q-밍끈포켓,BK,블랙,F,판매,의류,2021,12월,3,바지,015
108,2024-01-11,직영점,A0086,부산구서점(직),2,기획,일반판매,AKK7VT003,J-하이넥덕다운조끼,BR,브라운,F,판매,의류,2023,11월,7,베스트,003
109,2024-01-11,직영점,A0086,부산구서점(직),3,기획,일반판매,AKL7KT003,P-로제폴라니트,BR,브라운,F,판매,의류,2023,12월,7,니트,003
110,2024-01-11,직영점,A0086,부산구서점(직),3,기획,일반판매,AKK7TS002,P-폴라기모T,WN,와인,F,판매,의류,2023,11월,7,티셔츠,002
111,2024-01-11,직영점,A0086,부산구서점(직),4,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BE,베이지,F,판매,의류,2023,12월,3,점퍼,011
112,2024-01-11,직영점,A0086,부산구서점(직),5,정상,일반판매,AKL7DP006,P3-기모일자통데님,DL,진청,S,판매,의류,2023,12월,7,데님,006
113,2024-01-11,직영점,A0086,부산구서점(직),5,정상,일반판매,AJL3PT003,C-빅포켓배기팬츠,BK,블랙,S,판매,의류,2022,12월,3,바지,003
114,2024-01-11,직영점,A0086,부산구서점(직),6,정상,일반판매,AKK3PT015,C-윈디울부츠컷,OT,오트밀,L,판매,의류,2023,11월,3,바지,015
115,2024-01-11,직영점,A0086,부산구서점(직),7,정상,일반판매,AKL7JP001,P-모드롱덕다운패딩,BR,브라운,F,판매,의류,2023,12월,7,점퍼,001
116,2024-01-11,직영점,A0086,부산구서점(직),7,정상,일반판매,BKL7MF005,컬러풀머플러,RE,레드,F,판매,잡화,2023,12월,7,머플러,005
117,2024-01-11,직영점,A0086,부산구서점(직),7,정상,일반판매,BKL4CP007,타조돌돌이챙,CG,차콜그레이,F,판매,잡화,2023,12월,4,모자,007
118,2024-01-11,직영점,A0086,부산구서점(직),7,정상,일반판매,AKK7JP020,J-밍크라인덕다운,BK,블랙,F,판매,의류,2023,11월,7,점퍼,020
119,2024-01-11,직영점,A0086,부산구서점(직),7,정상,일반판매,AKK7VT002,J-로티덕다운조끼,BK,블랙,F,판매,의류,2023,11월,7,베스트,002
120,2024-01-11,직영점,A0086,부산구서점(직),8,정상,일반판매,AKK7KT012,J-무지폴라니트,PK,핑크,F,판매,의류,2023,11월,7,니트,012
