상품코드,상품명,사이즈,판매금액,MappedValue,년도,월
AEK1CA701,오픈 롱 가디건,Free,29000,가디건,2017,11월 1일
AFJ3TS036,A-미니리본,Free,53000,티셔츠,2018,10월 1일
AEK5PT001,쥬크트임,M,29000,바지,2017,11월 1일
AIF3ST006,S-매료SET,Free,89000,세트,2021,6월 1일
AGC3BL053,M-스퀘어BL,Free,39000,블라우스,2019,3월 1일
AFH3TS002,A-마콤비,Free,59000,티셔츠,2018,8월 1일
AFA2WS312,바비레이스,Free,19500,남방,2018,1월 1일
AFE1TS301,마크셔링5부,Free,33000,티셔츠,2018,5월 1일
AEH1KN701,파스칼 펄 슬림핏 니트풀오버,M,19000,니트나시,2017,8월 1일
AEH1OP301,젠 텐셀오간자 셔츠드레스,L,29000,원피스,2017,8월 1일
AIF7TS023,나염브이쿨T,Free,29000,티셔츠,2021,6월 1일
AEE1WS001,CR수채화,Free,19500,남방,2017,5월 1일
AFA2JK306,싸인JK,Free,119000,자켓,2018,1월 1일
AFA2PT305,타임521,L,59000,바지,2018,1월 1일
AFA2JP101,자수항공JP,Free,149000,점퍼,2018,1월 1일
AEH2PT401,드라우트 워싱 카고팬츠,M,29000,바지,2017,8월 1일
AEL5LG002,융10부,Free,16000,레깅스,2017,12월 1일
AEI1CT101,조쉬 오버사이즈 트렌치코트,L,49000,코트,2017,9월 1일
AFE2BL301,레이스블러썸,Free,33000,블라우스,2018,5월 1일
AFA2CA305,하찌니트,Free,21500,가디건,2018,1월 1일
AFJ3KT009,C-발렌배색,Free,43000,니트,2018,10월 1일
AEK1SK603,울 360도 플레어 풀스커트,M,29000,스커트,2017,11월 1일
AGE3TS007,M-라스트배색,Free,19000,티셔츠,2019,5월 1일
AEJ5PT001,710,L,29000,바지,2017,10월 1일
AHE3DP010,Q-817연청9부,S,59000,데님,2020,5월 1일
AIF3JK022,S-뒷나염여자JK,Free,73000,자켓,2021,6월 1일
AEL5LG001,속기모레깅스,Free,23000,레깅스,2017,12월 1일
AFI3BL016,F-하프BL,Free,34500,블라우스,2018,9월 1일
AEI2BL602,샌디에고 데님셔츠 점퍼,S,10000,블라우스,2017,9월 1일
AFI1VT001,F-모던베스트,L,54500,베스트,2018,9월 1일
AFA2TS301,골지프릴,Free,29000,티셔츠,2018,1월 1일
AFE1BL301,R7부)페라리,Free,59000,블라우스,2018,5월 1일
ADK8JP003,150747폭스퍼방울JP,Free,83700,점퍼,2016,11월 1일
AFE2KT704,동글라그랑니트,Free,39000,니트,2018,5월 1일
AFE4TS301,이중V,Free,34300,티셔츠,2018,5월 1일
AFA2WS701,플라워자수남방,Free,39000,남방,2018,1월 1일
AFA2TS316,와끼반츠R,Free,49000,티셔츠,2018,1월 1일
AEH1OP602,얼반모리걸 자수패치 셔츠원피스,L,29000,원피스,2017,8월 1일
AEJ5TS001,모달긴팔,Free,23100,티셔츠,2017,10월 1일
AFA1TS101,나염배색T,Free,49000,티셔츠,2018,1월 1일
AFA2TS344,져스트,Free,33000,티셔츠,2018,1월 1일
AFA2BL703,인타돗트BL,Free,29000,블라우스,2018,1월 1일
AFE2KT713,스카스팽글,Free,18200,니트,2018,5월 1일
AFH3OP003,C-파브OPS,Free,69000,원피스,2018,8월 1일
AEK5DP006,769,L,29000,데님,2017,11월 1일
AEI2SK401,나탈리 머메이드 데님스커트,L,19000,스커트,2017,9월 1일
AFK7KT014,A-고양이방울니트,Free,49000,니트,2018,11월 1일
AFJ3DP001,C-루키,S,41500,데님,2018,10월 1일
AEK5JP006,손오코트,Free,104300,점퍼,2017,11월 1일
AEK1KN706,라운드 H롱 니트,Free,10000,니트나시,2017,11월 1일
AGD1PT002,M-언발SL,M,63000,바지,2019,4월 1일
AFE3BL309,프라하BL,Free,29500,블라우스,2018,5월 1일
AID3TS093,S-셔링반팔T,Free,39000,티셔츠,2021,4월 1일
AHE3OP003,M-플론OPS,Free,55300,원피스,2020,5월 1일
AIG7TS002,코알라T,Free,23000,티셔츠,2021,7월 1일
AIF3PT009,S-와일드PT,Free,43000,바지,2021,6월 1일
AEH2PT701,나인온스 어빌리티 베이직 스키니진,M,19000,바지,2017,8월 1일
AEJ1PT601,피아오 진,XL,19000,바지,2017,10월 1일
AFE2PT101,워너비부츠컷2,L,79000,바지,2018,5월 1일
AEC8JP004,267 봄버JP,Free,49500,점퍼,2017,3월 1일
AEJ5DP001,724,M,39000,데님,2017,10월 1일
AFI3TS001,D-셔링반폴라,Free,35100,티셔츠,2018,9월 1일
AFJ3TS003,C-스마일,Free,19500,티셔츠,2018,10월 1일
AFI3BL019,A-차이나트임BL,Free,16500,블라우스,2018,9월 1일
AFA2BL315,1720,Free,33000,블라우스,2018,1월 1일
AFE1BL304,지그재그,Free,33000,블라우스,2018,5월 1일
AFA1TS802,ST조끼배색,Free,69000,티셔츠,2018,1월 1일
AEF1JK006,망사JK,Free,19500,자켓,2017,6월 1일
AFA2TS322,진주잔샤링,Free,63000,티셔츠,2018,1월 1일
AEJ1TS501,피렌체티셔츠,L,19000,티셔츠,2017,10월 1일
AEK1CT706,토끼털 울코트,XL,59000,코트,2017,11월 1일
AFA2WS305,ST1618(롱남방),Free,33000,남방,2018,1월 1일
AFE1JP301,롱체크후드(롱#),Free,39000,점퍼,2018,5월 1일
AEI2SK601,캘리포니아 티어드 드레스 스커트,M,39000,스커트,2017,9월 1일
AFA2BL320,폭프릴진주BL,Free,79000,블라우스,2018,1월 1일
AFJ3TS030,C-드레스T,Free,39000,티셔츠,2018,10월 1일
AFE4PT709,레이온통PT,Free,41300,바지,2018,5월 1일
AEL7CT801,시보리누빔패딩,Free,104300,코트,2017,12월 1일
AEI2BG007,자카르타 자카드 숄더백,Free,59000,가방,2017,9월 1일
AGC3BL049,M-러블리팬디,Free,79000,블라우스,2019,3월 1일
AEK1BL201,프린트 쉬폰 블라우스+이너,XL,20000,블라우스,2017,11월 1일
AEJ5KT003,소매배색반폴라,Free,30100,니트,2017,10월 1일
AID3PT007,S-아방PT,Free,49000,바지,2021,4월 1일
AID3OP036,S-청배색OPS,Free,73000,원피스,2021,4월 1일
AEI1TS301,베네치아 프릴 터틀넥 풀오버,L,19000,티셔츠,2017,9월 1일
AEK1OP701,캐주얼 롱 원피스,Free,29000,원피스,2017,11월 1일
AEJ5DP003,나폴리부츠컷,S,56000,데님,2017,10월 1일
AEL5KT003,부엉이,Free,19000,니트,2017,12월 1일
AFI3PT002,F-클래식,L,59000,바지,2018,9월 1일
AFE4PT702,CK바지,Free,59000,바지,2018,5월 1일
AEK1TS702,브이 넥 빅 원피스,Free,10000,티셔츠,2017,11월 1일
AFJ3TS029,C-고양이T,Free,49000,티셔츠,2018,10월 1일
AEK1PT301,윈터 실켓모달 터키팬츠,L,19000,바지,2017,11월 1일
AFA2KN304,끌로에캡나시,Free,39000,니트나시,2018,1월 1일
AFA2PT306,벨트깡부츠컷,M,59000,바지,2018,1월 1일
AEJ2CT101,다우리버 자카드 페미닌코트,M,59000,코트,2017,10월 1일
AEJ5KT006,여왕별,Free,19000,니트,2017,10월 1일
AFA2VT308,초코브이,Free,16500,베스트,2018,1월 1일
AFE1JP304,손시보리점퍼,Free,69300,점퍼,2018,5월 1일
AGD7BL011,서클BL,Free,29000,블라우스,2019,4월 1일
AGD3JK006,S-마JK,Free,73000,자켓,2019,4월 1일
